pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits,recipient_class,donor_class
10,10494038,1049016,2,982528,65536,608,100,9,9
10,10494038,1049016,3,491264,65536,571,93,9,9
10,10494038,1049016,4,2097920,16384,481,79,9,9
10,10494038,1049016,5,4129792,65536,433,71,9,9
10,10494038,1049016,6,3080960,65536,412,64,9,9
11,11543054,1047966,0,1048320,65536,708,116,9,9
11,11543054,1047966,1,1540096,65536,618,102,9,9
11,11543054,1047966,2,982528,65536,608,100,9,9
11,11543054,1047966,3,491264,65536,571,93,9,9
11,11543054,1047966,4,2097920,16384,481,79,9,9
11,11543054,1047966,5,4129792,65536,433,71,9,9
11,11543054,1047966,6,3080960,65536,412,64,9,9
12,12591020,1050582,0,1048320,65536,708,116,9,9
12,12591020,1050582,1,1540096,65536,618,102,9,9
12,12591020,1050582,2,982528,65536,608,100,9,9
12,12591020,1050582,3,491264,65536,571,93,9,9
12,12591020,1050582,4,2097920,16384,481,79,9,9
12,12591020,1050582,5,4129792,65536,433,71,9,9
12,12591020,1050582,6,3080960,65536,412,64,9,9
13,13641602,1057613,0,1048320,65536,708,116,9,9
13,13641602,1057613,1,1540096,65536,618,102,9,9
13,13641602,1057613,2,982528,65536,608,100,9,9
13,13641602,1057613,3,491264,65536,571,93,9,9
13,13641602,1057613,4,2097920,16384,481,79,9,9
13,13641602,1057613,5,4129792,65536,433,71,9,9
13,13641602,1057613,6,3080960,65536,412,64,9,9
14,14699215,1050275,0,1048320,65536,708,116,9,9
14,14699215,1050275,1,1540096,65536,618,102,9,9
14,14699215,1050275,2,982528,65536,608,100,9,9
14,14699215,1050275,3,491264,65536,571,93,9,9
14,14699215,1050275,4,2097920,16384,481,79,9,9
14,14699215,1050275,5,4129792,65536,433,71,9,9
14,14699215,1050275,6,3080960,65536,412,64,9,9
15,15749490,1048369,0,1048320,65536,708,116,9,9
15,15749490,1048369,1,1540096,65536,618,102,9,9
15,15749490,1048369,2,982528,65536,608,100,9,9
15,15749490,1048369,3,491264,65536,571,93,9,9
15,15749490,1048369,4,2097920,16384,481,79,9,9
15,15749490,1048369,5,4129792,65536,433,71,9,9
15,15749490,1048369,6,3080960,65536,412,64,9,9
16,16797859,1046789,0,1048320,65536,708,116,9,9
16,16797859,1046789,1,1540096,65536,618,102,9,9
16,16797859,1046789,2,982528,65536,608,100,9,9
16,16797859,1046789,3,491264,65536,571,93,9,9
16,16797859,1046789,4,2097920,16384,481,79,9,9
16,16797859,1046789,5,4129792,65536,433,71,9,9
16,16797859,1046789,6,3080960,65536,412,64,9,9
17,17844648,1051023,0,1048320,65536,708,116,9,9
17,17844648,1051023,1,1540096,65536,618,102,9,9
17,17844648,1051023,2,982528,65536,608,100,9,9
17,17844648,1051023,3,491264,65536,571,93,9,9
17,17844648,1051023,4,2097920,16384,481,79,9,9
17,17844648,1051023,5,4129792,65536,433,71,9,9
17,17844648,1051023,6,3080960,65536,412,64,9,9
18,18895671,1047724,0,1048320,65536,708,116,9,9
18,18895671,1047724,1,1540096,65536,618,102,9,9
18,18895671,1047724,2,982528,65536,608,100,9,9
18,18895671,1047724,3,491264,65536,571,93,9,9
18,18895671,1047724,4,2097920,16384,481,79,9,9
18,18895671,1047724,5,4129792,65536,433,71,9,9
18,18895671,1047724,6,3080960,65536,412,64,9,9
19,19943395,1047479,0,1048320,65536,708,116,9,9
19,19943395,1047479,1,1540096,65536,618,102,9,9
19,19943395,1047479,2,982528,65536,608,100,9,9
19,19943395,1047479,3,491264,65536,571,93,9,9
19,19943395,1047479,4,2097920,16384,481,79,9,9
19,19943395,1047479,5,4129792,65536,433,71,9,9
19,19943395,1047479,6,3080960,65536,412,64,9,9
20,20990874,1048917,0,1048320,65536,708,116,9,9
20,20990874,1048917,1,1540096,65536,618,102,9,9
20,20990874,1048917,2,982528,65536,608,100,9,9
20,20990874,1048917,3,491264,65536,571,93,9,9
20,20990874,1048917,4,2097920,16384,481,79,9,9
20,20990874,1048917,5,4129792,65536,433,71,9,9
20,20990874,1048917,6,3080960,65536,412,64,9,9
21,22039791,1054737,0,1048320,65536,708,116,9,9
21,22039791,1054737,1,1540096,65536,618,102,9,9
21,22039791,1054737,2,982528,65536,608,100,9,9
21,22039791,1054737,3,491264,65536,571,93,9,9
21,22039791,1054737,4,2097920,16384,481,79,9,9
21,22039791,1054737,5,4129792,65536,433,71,9,9
21,22039791,1054737,6,3080960,65536,412,64,9,9
