pack_id,first_page,page_count,post_r1_start,post_r1_end,post_r1_length,decoded_length,stream_class,class_name,feature_mask
38,11954,373,39887096,40937191,1050095,1606158,9,list,1015
39,12327,313,40937191,41986401,1049210,1646972,6,url,1015
40,12640,395,41986401,43034573,1048172,1660580,10,mixed,1015
41,13035,428,43034573,44082319,1047746,1614133,10,mixed,1015
42,13463,322,44082319,45130116,1047797,1416881,9,list,1015
43,13785,346,45130116,46176335,1046219,1572968,9,list,1015
44,14131,304,46176335,47228198,1051863,1677908,6,url,1015
45,14435,357,47228198,48276807,1048609,1679205,6,url,1015
46,14792,321,48276807,49326598,1049791,1713874,10,mixed,1015
47,15113,429,49326598,50375116,1048518,1691027,10,mixed,1015
48,15542,227,50375116,51429545,1054429,1787257,6,url,1015
49,15769,239,51429545,52478164,1048619,1812468,6,url,1015
50,16008,338,52478164,53526828,1048664,1765978,10,mixed,1015
51,16346,224,53526828,54574659,1047831,1841286,6,url,1015
52,16570,311,54574659,55623067,1048408,1819468,10,mixed,1015
53,16881,199,55623067,56673889,1050822,1709053,10,mixed,1015
54,17080,296,56673889,57723048,1049159,1856036,10,mixed,1015
55,17376,299,57723048,58772244,1049196,1829581,10,mixed,1015
56,17675,254,58772244,59816997,1044753,1770670,6,url,1015
57,17929,336,59816997,60864583,1047586,1793363,10,mixed,1015
58,18265,255,60864583,61910108,1045525,1909902,6,url,1015
59,18520,368,61910108,62961887,1051779,1869762,10,mixed,1015
60,18888,328,62961887,64013943,1052056,1755802,6,url,1015
61,19216,288,64013943,65063939,1049996,1855072,10,mixed,1015
62,19504,229,65063939,66113270,1049331,1720092,10,mixed,1015
63,19733,401,66113270,67162195,1048925,1800976,10,mixed,1015
64,20134,395,67162195,68210996,1048801,1775762,10,mixed,1015
65,20529,237,68210996,69260290,1049294,1779749,10,mixed,1015
66,20766,267,69260290,70308921,1048631,1674809,10,mixed,1015
67,21033,272,70308921,71359090,1050169,1759889,10,mixed,1015
68,21305,243,71359090,72413180,1054090,1734802,10,mixed,1015
69,21548,261,72413180,73462010,1048830,1776745,6,url,1015
70,21809,366,73462010,74505116,1043106,1842898,10,mixed,1015
71,22175,279,74505116,75550861,1045745,1873624,10,mixed,1015
72,22454,240,75550861,76600145,1049284,1872082,10,mixed,1015
73,22694,269,76600145,77649549,1049404,1879212,10,mixed,1015
74,22963,244,77649549,78698950,1049401,1905394,6,url,1015
75,23207,267,78698950,79749109,1050159,1781116,10,mixed,1015
76,23474,201,79749109,80797080,1047971,1910907,10,mixed,1015
77,23675,345,80797080,81846058,1048978,1788997,10,mixed,1015
78,24020,385,81846058,82895685,1049627,1772880,10,mixed,1015
79,24405,293,82895685,83944520,1048835,1598837,9,list,1015
80,24698,269,83944520,84989531,1045011,1758162,10,mixed,1015
81,24967,279,84989531,86038265,1048734,1806393,10,mixed,1015
82,25246,288,86038265,87087641,1049376,1774184,10,mixed,1015
83,25534,286,87087641,88136600,1048959,1766623,10,mixed,1015
84,25820,203,88136600,89184861,1048261,1565332,10,mixed,1015
85,26023,252,89184861,90235200,1050339,1661727,10,mixed,1015
86,26275,272,90235200,91284118,1048918,1714689,10,mixed,1015
87,26547,247,91284118,92334574,1050456,1686429,8,template,1015
88,26794,251,92334574,93379564,1044990,1671817,8,template,1015
89,27045,305,93379564,94428006,1048442,1758967,10,mixed,1015
90,27350,265,94428006,95475522,1047516,1793750,10,mixed,1015
91,27615,308,95475522,96523305,1047783,1799034,10,mixed,1015
92,27923,398,96523305,97572014,1048709,1805518,10,mixed,1015
93,28321,379,97572014,98619736,1047722,1813444,10,mixed,1015
94,28700,323,98619736,99667131,1047395,1817234,10,mixed,1015
95,29023,379,99667131,100715632,1048501,1875421,10,mixed,1015
96,29402,369,100715632,101762496,1046864,1859474,10,mixed,1015
97,29771,663,101762496,102809583,1047087,1861616,10,mixed,1015
98,30434,359,102809583,103862041,1052458,1821328,10,mixed,1015
99,30793,321,103862041,104910507,1048466,1784053,6,url,1015
100,31114,261,104910507,105963052,1052545,1806399,6,url,1015
101,31375,315,105963052,107006226,1043174,1820913,6,url,1015
102,31690,255,107006226,108054113,1047887,1782538,6,url,1015
103,31945,234,108054113,109109158,1055045,1774121,6,url,1015
104,32179,262,109109158,110158158,1049000,1815584,10,mixed,1015
105,32441,356,110158158,111208082,1049924,1905585,10,mixed,1015
106,32797,286,111208082,112256143,1048061,1826751,10,mixed,1015
107,33083,324,112256143,113303579,1047436,1806703,6,url,1015
108,33407,312,113303579,114355709,1052130,1833457,6,url,1015
109,33719,273,114355709,115398305,1042596,1786176,6,url,1015
110,33992,322,115398305,116446163,1047858,1813946,6,url,1015
111,34314,326,116446163,117490417,1044254,1805022,6,url,1015
112,34640,285,117490417,118538560,1048143,1843051,6,url,1015
113,34925,314,118538560,119579954,1041394,1786579,6,url,1015
114,35239,324,119579954,120628164,1048210,1850837,6,url,1015
115,35563,1191,120628164,121676009,1047845,1753297,9,list,1015
116,36754,462,121676009,122724346,1048337,1767714,10,mixed,1015
117,37216,251,122724346,123764192,1039846,1797406,6,url,1015
118,37467,243,123764192,124811593,1047401,1735040,6,url,1015
119,37710,216,124811593,125859662,1048069,1712887,10,mixed,1015
120,37926,229,125859662,126906949,1047287,1749661,10,mixed,1015
121,38155,158,126906949,127956076,1049127,1651762,10,mixed,1015
122,38313,137,127956076,129000537,1044461,1692960,10,mixed,1015
123,38450,131,129000537,130043474,1042937,1737872,10,mixed,1015
124,38581,210,130043474,131096039,1052565,1771248,6,url,1015
125,38791,177,131096039,132143389,1047350,1786729,10,mixed,1015
126,38968,355,132143389,133196198,1052809,1662898,10,mixed,1015
127,39323,191,133196198,134244257,1048059,1663942,10,mixed,1015
128,39514,115,134244257,135298059,1053802,1693412,10,mixed,1015
129,39629,162,135298059,136352001,1053942,1711724,10,mixed,1015
130,39791,149,136352001,137402288,1050287,1748487,9,list,1015
131,39940,144,137402288,138449376,1047088,1576687,9,list,1015
132,40084,144,138449376,139489128,1039752,1545512,9,list,1015
133,40228,129,139489128,140539767,1050639,1702665,10,mixed,1015
134,40357,103,140539767,141588001,1048234,1743879,10,mixed,1015
135,40460,126,141588001,142635942,1047941,1728565,9,list,1015
136,40586,218,142635942,143684625,1048683,1649459,10,mixed,1015
137,40804,399,143684625,144744469,1059844,1629141,9,list,1015
138,41203,220,144744469,145792326,1047857,1643196,9,list,1015
139,41423,197,145792326,146842039,1049713,1638872,9,list,1015
140,41620,135,146842039,147886989,1044950,1650038,9,list,1015
141,41755,217,147886989,148933922,1046933,1727486,10,mixed,1015
142,41972,191,148933922,149985050,1051128,1732088,6,url,1015
143,42163,204,149985050,151029951,1044901,1680189,9,list,1015
144,42367,138,151029951,152070567,1040616,1562930,9,list,1015
145,42505,133,152070567,153118709,1048142,1647289,9,list,1015
146,42638,164,153118709,154165650,1046941,1667431,9,list,1015
147,42802,244,154165650,155214816,1049166,1671861,9,list,1015
148,43046,274,155214816,156263394,1048578,1646163,9,list,1015
149,43320,266,156263394,157314043,1050649,1629739,9,list,1015
150,43586,317,157314043,158360441,1046398,1575092,9,list,1015
151,43903,261,158360441,159408987,1048546,1606808,9,list,1015
152,44164,284,159408987,160457190,1048203,1573128,9,list,1015
153,44448,277,160457190,161506633,1049443,1544216,9,list,1015
154,44725,274,161506633,162553906,1047273,1565497,9,list,1015
155,44999,391,162553906,163601184,1047278,1603161,9,list,1015
156,45390,337,163601184,164645993,1044809,1532624,9,list,1015
157,45727,254,164645993,165692357,1046364,1650462,9,list,1015
158,45981,280,165692357,166741011,1048654,1612317,9,list,1015
159,46261,263,166741011,167792650,1051639,1621783,9,list,1015
160,46524,178,167792650,168838837,1046187,1648526,9,list,1015
161,46702,221,168838837,169882712,1043875,1682391,9,list,1015
162,46923,237,169882712,170930787,1048075,1642334,9,list,1015
163,47160,314,170930787,171975646,1044859,1722026,9,list,1015
164,47474,267,171975646,173025176,1049530,1676154,10,mixed,1015
165,47741,237,173025176,174073824,1048648,1772188,9,list,1015
166,47978,236,174073824,175111296,1037472,1690818,9,list,1015
167,48214,278,175111296,176163948,1052652,1643412,9,list,1015
168,48492,228,176163948,177194672,1030724,1676366,10,mixed,1015
169,48720,290,177194672,178243750,1049078,1662096,9,list,1015
170,49010,277,178243750,179295928,1052178,1699209,9,list,1015
171,49287,267,179295928,180343252,1047324,1565667,9,list,1015
172,49554,266,180343252,181386073,1042821,1639149,9,list,1015
173,49820,261,181386073,182438310,1052237,1689227,9,list,1015
174,50081,521,182438310,183486730,1048420,1578707,9,list,1015
175,50602,305,183486730,184532789,1046059,1593714,9,list,1015
176,50907,261,184532789,185575336,1042547,1588019,9,list,1015
177,51168,280,185575336,186621099,1045763,1656857,9,list,1015
178,51448,318,186621099,187670326,1049227,1688010,10,mixed,1015
179,51766,418,187670326,188710030,1039704,1588657,9,list,1015
180,52184,315,188710030,189758380,1048350,1670630,10,mixed,1015
181,52499,292,189758380,190806814,1048434,1739103,6,url,1015
182,52791,332,190806814,191852700,1045886,1822356,10,mixed,1015
183,53123,200,191852700,192900101,1047401,1631469,10,mixed,1015
184,53323,247,192900101,193947734,1047633,1662684,9,list,1015
185,53570,248,193947734,194999546,1051812,1763329,9,list,1015
186,53818,210,194999546,196050495,1050949,1583391,9,list,1015
187,54028,211,196050495,197095732,1045237,1646846,9,list,1015
188,54239,280,197095732,198147847,1052115,1830603,10,mixed,1015
189,54519,194,198147847,199197219,1049372,1901055,6,url,1015
190,54713,246,199197219,200245613,1048394,1902948,10,mixed,1015
191,54959,243,200245613,201293852,1048239,1889087,6,url,1015
192,55202,209,201293852,202341339,1047487,1892339,6,url,1015
193,55411,310,202341339,203389689,1048350,1910531,10,mixed,1015
194,55721,253,203389689,204438665,1048976,1995268,10,mixed,1015
195,55974,231,204438665,205486793,1048128,1852526,10,mixed,1015
196,56205,184,205486793,206528155,1041362,1879384,10,mixed,1015
197,56389,273,206528155,207577877,1049722,1979223,10,mixed,1015
198,56662,280,207577877,208625786,1047909,1949556,10,mixed,1015
199,56942,298,208625786,209675726,1049940,1893299,10,mixed,1015
200,57240,318,209675726,210723012,1047286,1910870,10,mixed,1015
201,57558,362,210723012,211774324,1051312,1996065,9,list,1015
202,57920,302,211774324,212823813,1049489,1957018,10,mixed,1015
203,58222,222,212823813,213871707,1047894,2004379,10,mixed,1015
204,58444,259,213871707,214920002,1048295,1889591,6,url,1015
205,58703,282,214920002,215970965,1050963,1773252,10,mixed,1015
206,58985,297,215970965,217015871,1044906,1786359,6,url,1015
207,59282,287,217015871,218063298,1047427,1929663,6,url,1015
208,59569,294,218063298,219110557,1047259,1881422,10,mixed,1015
209,59863,327,219110557,220156614,1046057,1734711,6,url,1015
210,60190,203,220156614,221201293,1044679,1515247,9,list,1015
211,60393,347,221201293,222249292,1047999,1711638,6,url,1015
212,60740,359,222249292,223297502,1048210,1654009,10,mixed,1015
213,61099,300,223297502,224346187,1048685,1710060,10,mixed,1015
214,61399,275,224346187,225393301,1047114,1626382,10,mixed,1015
215,61674,229,225393301,226442019,1048718,1755497,10,mixed,1015
216,61903,275,226442019,227488419,1046400,1793501,10,mixed,1015
217,62178,411,227488419,228534656,1046237,1728291,0,prose,743
218,62589,298,228534656,229584458,1049802,1805461,0,prose,1015
219,62887,287,229584458,230627676,1043218,1749009,10,mixed,1015
220,63174,249,230627676,231673695,1046019,1730895,10,mixed,1015
221,63423,294,231673695,232720769,1047074,1703350,10,mixed,1015
222,63717,252,232720769,233768080,1047311,1785003,10,mixed,1015
223,63969,193,233768080,234819972,1051892,1796395,6,url,1015
224,64162,227,234819972,235867814,1047842,1772402,10,mixed,1015
225,64389,202,235867814,236918564,1050750,1881175,10,mixed,1015
226,64591,177,236918564,237961713,1043149,1869207,10,mixed,1015
227,64768,193,237961713,239008346,1046633,1883956,6,url,1015
228,64961,138,239008346,240064753,1056407,1868892,6,url,1015
229,65099,150,240064753,241116537,1051784,1908529,6,url,1015
230,65249,140,241116537,242172395,1055858,1832277,10,mixed,1015
231,65389,161,242172395,243222974,1050579,1748432,6,url,1015
232,65550,124,243222974,244274074,1051100,1773704,10,mixed,1015
233,65674,153,244274074,245326624,1052550,1792586,10,mixed,1015
234,65827,219,245326624,246375727,1049103,1819455,10,mixed,1015
235,66046,171,246375727,247430483,1054756,1815860,6,url,1015
236,66217,256,247430483,248479027,1048544,1703007,10,mixed,1015
237,66473,327,248479027,249525609,1046582,1696360,10,mixed,1015
238,66800,234,249525609,250573740,1048131,1682137,10,mixed,1015
239,67034,161,250573740,251621366,1047626,1709046,6,url,1015
240,67195,229,251621366,252671310,1049944,1634397,10,mixed,1015
241,67424,307,252671310,253718215,1046905,1679257,10,mixed,1015
242,67731,328,253718215,254771951,1053736,1725860,10,mixed,1015
243,68059,256,254771951,255816879,1044928,1675580,10,mixed,1015
244,68315,467,255816879,256863920,1047041,1580986,10,mixed,1015
245,68782,656,256863920,257912791,1048871,1646505,10,mixed,1015
246,69438,713,257912791,258960628,1047837,1663689,10,mixed,1015
247,70151,353,258960628,260009461,1048833,1762008,10,mixed,1015
248,70504,334,260009461,261059021,1049560,1735425,10,mixed,1015
249,70838,254,261059021,262114976,1055955,1682277,10,mixed,743
250,71092,281,262114976,263175200,1060224,1450801,9,list,1015
251,71373,313,263175200,264225800,1050600,1730988,10,mixed,1015
252,71686,224,264225800,265275642,1049842,1747116,6,url,1015
253,71910,204,265275642,266318882,1043240,1650267,6,url,1015
254,72114,188,266318882,267368621,1049739,1651493,10,mixed,1015
255,72302,215,267368621,268414674,1046053,1774381,10,mixed,1015
256,72517,215,268414674,269464779,1050105,1786017,10,mixed,1015
257,72732,272,269464779,270512944,1048165,1795247,10,mixed,1015
258,73004,281,270512944,271563651,1050707,1762740,10,mixed,1015
259,73285,211,271563651,272612496,1048845,1678363,9,list,1015
260,73496,151,272612496,273662751,1050255,1672610,9,list,1015
261,73647,188,273662751,274710082,1047331,1748284,10,mixed,1015
262,73835,329,274710082,275758173,1048091,1709712,10,mixed,1015
263,74164,273,275758173,276803120,1044947,1705944,10,mixed,1015
264,74437,229,276803120,277854391,1051271,1756309,6,url,1015
265,74666,202,277854391,278900538,1046147,1655956,9,list,1015
266,74868,138,278900538,279950692,1050154,1511860,9,list,1015
267,75006,123,279950692,281005064,1054372,1515889,9,list,887
268,75129,119,281005064,282056750,1051686,1520313,9,list,1015
269,75248,83,282056750,283107301,1050551,1617754,9,list,887
270,75331,145,283107301,284155763,1048462,1678383,9,list,1015
271,75476,197,284155763,285202995,1047232,1640610,9,list,1015
272,75673,235,285202995,286249484,1046489,1685555,9,list,1015
273,75908,201,286249484,287299757,1050273,1810800,10,mixed,1015
274,76109,208,287299757,288355507,1055750,1799766,10,mixed,1015
275,76317,160,288355507,289408531,1053024,1752581,10,mixed,1015
276,76477,307,289408531,290456928,1048397,1677049,10,mixed,1015
277,76784,184,290456928,291505987,1049059,1743057,6,url,1015
278,76968,136,291505987,292572130,1066143,1816430,6,url,1015
279,77104,167,292572130,293619930,1047800,1863763,10,mixed,1015
280,77271,271,293619930,294668268,1048338,1832431,10,mixed,1015
281,77542,210,294668268,295717238,1048970,1823584,6,url,1015
282,77752,239,295717238,296765347,1048109,1564226,10,mixed,1015
283,77991,172,296765347,297815604,1050257,1766604,6,url,1015
284,78163,228,297815604,298864512,1048908,1750088,6,url,1015
285,78391,128,298864512,299910374,1045862,1802369,6,url,1015
286,78519,144,299910374,300957943,1047569,1808113,6,url,1015
287,78663,216,300957943,302008902,1050959,1811936,6,url,1015
288,78879,228,302008902,303058980,1050078,1943410,10,mixed,1015
289,79107,206,303058980,304107543,1048563,1942736,10,mixed,1015
290,79313,190,304107543,305164045,1056502,1834904,9,list,1015
291,79503,155,305164045,306213617,1049572,1799917,6,url,1015
292,79658,196,306213617,307271702,1058085,1791756,10,mixed,1015
293,79854,201,307271702,308315174,1043472,1773776,10,mixed,1015
294,80055,175,308315174,309360245,1045071,1802626,10,mixed,1015
295,80230,202,309360245,310405045,1044800,1848830,10,mixed,1015
296,80432,184,310405045,311453368,1048323,1753420,10,mixed,1015
297,80616,281,311453368,312501489,1048121,1724043,10,mixed,1015
298,80897,227,312501489,313551825,1050336,1753482,10,mixed,1015
299,81124,187,313551825,314600538,1048713,1867525,10,mixed,1015
300,81311,216,314600538,315647810,1047272,1798840,10,mixed,1015
301,81527,189,315647810,316704783,1056973,1730862,10,mixed,1015
302,81716,159,316704783,317753088,1048305,1793497,10,mixed,1015
303,81875,165,317753088,318803696,1050608,1828596,10,mixed,1015
304,82040,194,318803696,319853216,1049520,1768079,10,mixed,1015
305,82234,231,319853216,320900148,1046932,1774116,10,mixed,1015
306,82465,200,320900148,321949082,1048934,1751334,9,list,1015
307,82665,215,321949082,322997753,1048671,1830710,9,list,1015
308,82880,232,322997753,324039683,1041930,1756984,0,prose,1015
309,83112,258,324039683,325085342,1045659,1719499,0,prose,1015
310,83370,251,325085342,326131634,1046292,1695709,10,mixed,1015
311,83621,265,326131634,327181691,1050057,1775888,0,prose,1015
312,83886,292,327181691,328229354,1047663,1693682,10,mixed,1015
313,84178,293,328229354,329292599,1063245,1744851,0,prose,1015
314,84471,199,329292599,330339751,1047152,1728490,9,list,1015
315,84670,232,330339751,331388016,1048265,1709566,10,mixed,1015
316,84902,279,331388016,332440739,1052723,1737469,0,prose,1015
317,85181,304,332440739,333480710,1039971,1638258,10,mixed,1015
318,85485,319,333480710,334529865,1049155,1642635,10,mixed,1015
319,85804,276,334529865,335577819,1047954,1633977,10,mixed,1015
320,86080,305,335577819,336621386,1043567,1696073,10,mixed,1015
321,86385,263,336621386,337672152,1050766,1742169,0,prose,1015
322,86648,326,337672152,338718959,1046807,1702295,10,mixed,1015
323,86974,326,338718959,339763454,1044495,1667932,10,mixed,1015
324,87300,244,339763454,340808487,1045033,1669233,10,mixed,1015
325,87544,234,340808487,341876811,1068324,1616437,10,mixed,1015
326,87778,227,341876811,342927321,1050510,1697341,10,mixed,1015
327,88005,352,342927321,343975157,1047836,1758860,10,mixed,1015
328,88357,349,343975157,345017453,1042296,1627442,10,mixed,1015
329,88706,264,345017453,346065653,1048200,1534849,9,list,1015
330,88970,175,346065653,347083973,1018320,1563976,10,mixed,1015
331,89145,177,347083973,348133198,1049225,1632062,10,mixed,1015
332,89322,192,348133198,349177998,1044800,1800013,10,mixed,1015
333,89514,187,349177998,350229990,1051992,1603998,9,list,1015
334,89701,193,350229990,351277904,1047914,1692048,10,mixed,1015
335,89894,258,351277904,352326203,1048299,1664850,10,mixed,1015
336,90152,194,352326203,353383288,1057085,1798493,10,mixed,1015
337,90346,129,353383288,354424887,1041599,1606326,6,url,1015
338,90475,115,354424887,355486094,1061207,1763563,10,mixed,1015
339,90590,147,355486094,356534971,1048877,1720637,6,url,1015
340,90737,153,356534971,357584239,1049268,1681938,10,mixed,1015
341,90890,143,357584239,358628577,1044338,1706574,10,mixed,1015
342,91033,136,358628577,359678422,1049845,1680652,6,url,1015
343,91169,107,359678422,360733023,1054601,1779980,10,mixed,1015
344,91276,128,360733023,361781130,1048107,1794835,10,mixed,1015
345,91404,152,361781130,362819734,1038604,1774969,9,list,1015
346,91556,253,362819734,363867419,1047685,1705272,10,mixed,1015
347,91809,192,363867419,364914213,1046794,1740183,10,mixed,1015
348,92001,222,364914213,365963912,1049699,1754762,10,mixed,1015
349,92223,251,365963912,367008266,1044354,1772464,10,mixed,1015
350,92474,238,367008266,368053900,1045634,1791974,10,mixed,1015
351,92712,220,368053900,369102383,1048483,1794660,10,mixed,1015
352,92932,249,369102383,370141411,1039028,1779543,10,mixed,1015
353,93181,302,370141411,371185449,1044038,1784823,10,mixed,1015
354,93483,214,371185449,372214310,1028861,1734992,6,url,1015
355,93697,162,372214310,373254651,1040341,1690415,6,url,1015
356,93859,144,373254651,374302992,1048341,1757253,10,mixed,1015
357,94003,265,374302992,375344091,1041099,1639358,9,list,1015
358,94268,233,375344091,376392831,1048740,1744093,10,mixed,1015
359,94501,196,376392831,377443478,1050647,1772826,10,mixed,1015
360,94697,622,377443478,378494437,1050959,1705268,10,mixed,1015
361,95319,353,378494437,379542164,1047727,1591076,10,mixed,1015
362,95672,238,379542164,380587074,1044910,1463414,10,mixed,1015
363,95910,234,380587074,381629630,1042556,1433896,10,mixed,1015
364,96144,273,381629630,382679535,1049905,1676312,6,url,1015
365,96417,287,382679535,383725790,1046255,1660012,6,url,1015
366,96704,276,383725790,384766749,1040959,1630660,10,mixed,1015
367,96980,263,384766749,385815352,1048603,1505617,9,list,1015
368,97243,247,385815352,386863527,1048175,1605681,10,mixed,1015
369,97490,350,386863527,387908815,1045288,1589078,10,mixed,1015
370,97840,233,387908815,388958357,1049542,1287283,10,mixed,1015
371,98073,340,388958357,390012994,1054637,1450415,9,list,1015
372,98413,300,390012994,391051567,1038573,1630698,10,mixed,1015
373,98713,261,391051567,392101974,1050407,1723595,6,url,1015
374,98974,199,392101974,393152014,1050040,1740309,9,list,1015
375,99173,347,393152014,394203042,1051028,1676978,9,list,1015
376,99520,157,394203042,395251046,1048004,1699514,9,list,1015
377,99677,240,395251046,396297906,1046860,1701946,6,url,1015
378,99917,220,396297906,397345533,1047627,1680302,6,url,1015
379,100137,234,397345533,398394903,1049370,1630072,9,list,1015
380,100371,260,398394903,399446860,1051957,1566137,9,list,1015
381,100631,293,399446860,400495021,1048161,1614305,9,list,1015
382,100924,228,400495021,401542324,1047303,1667704,10,mixed,1015
383,101152,162,401542324,402590316,1047992,1711635,10,mixed,1015
384,101314,274,402590316,403640913,1050597,1730988,10,mixed,1015
385,101588,219,403640913,404700319,1059406,1648236,10,mixed,1015
386,101807,342,404700319,405741416,1041097,1667594,10,mixed,1015
387,102149,543,405741416,406790108,1048692,1690784,10,mixed,1015
388,102692,341,406790108,407838930,1048822,1655081,10,mixed,1015
389,103033,326,407838930,408880303,1041373,1697891,6,url,1015
390,103359,241,408880303,409923593,1043290,1694576,10,mixed,1015
391,103600,362,409923593,410974471,1050878,1670776,10,mixed,1015
392,103962,378,410974471,412024078,1049607,1675269,9,list,1015
393,104340,324,412024078,413070506,1046428,1521286,9,list,1015
394,104664,374,413070506,414120179,1049673,1621732,10,mixed,1015
395,105038,191,414120179,415167595,1047416,1747415,9,list,1015
396,105229,293,415167595,416216119,1048524,1740318,9,list,1015
397,105522,201,416216119,417255805,1039686,1766814,6,url,1015
398,105723,162,417255805,418303849,1048044,1770836,6,url,1015
399,105885,133,418303849,419351577,1047728,1798454,6,url,1015
400,106018,443,419351577,420399589,1048012,1634163,6,url,1015
401,106461,524,420399589,421448568,1048979,1541796,10,mixed,1015
402,106985,595,421448568,422496780,1048212,1554956,6,url,1015
403,107580,1057,422496780,423545478,1048698,1509041,6,url,1015
404,108637,355,423545478,424587785,1042307,1605903,10,mixed,1015
405,108992,258,424587785,425640170,1052385,1626157,10,mixed,1015
406,109250,243,425640170,426684777,1044607,1501193,10,mixed,1015
407,109493,153,426684777,427733402,1048625,1574112,9,list,1015
408,109646,207,427733402,428788754,1055352,1590164,9,list,1015
409,109853,184,428788754,429827006,1038252,1780308,10,mixed,1015
410,110037,136,429827006,430882963,1055957,1594164,10,mixed,1015
411,110173,179,430882963,431934927,1051964,1543587,9,list,1015
412,110352,106,431934927,432976919,1041992,1569301,9,list,1015
413,110458,225,432976919,434027024,1050105,1659142,9,list,1015
414,110683,164,434027024,435076128,1049104,1527430,9,list,1015
415,110847,140,435076128,436122050,1045922,1575980,9,list,1015
416,110987,139,436122050,437170591,1048541,1659911,9,list,1015
417,111126,183,437170591,438220351,1049760,1712807,9,list,1015
418,111309,192,438220351,439285172,1064821,1663328,10,mixed,1015
419,111501,135,439285172,440330985,1045813,1648729,9,list,1015
420,111636,402,440330985,441379615,1048630,1695046,0,prose,1015
421,112038,603,441379615,442438432,1058817,1630400,9,list,1015
422,112641,295,442438432,443490137,1051705,1647028,9,list,1015
423,112936,177,443490137,444541495,1051358,1697895,9,list,1015
424,113113,317,444541495,445586519,1045024,1592477,10,mixed,1015
425,113430,321,445586519,446641702,1055183,1635396,10,mixed,1015
426,113751,426,446641702,447690326,1048624,1614983,6,url,1015
427,114177,428,447690326,448742521,1052195,1636994,0,prose,1015
428,114605,226,448742521,449791485,1048964,1673762,6,url,1015
429,114831,259,449791485,450839473,1047988,1657846,10,mixed,1015
430,115090,502,450839473,451888469,1048996,1610410,0,prose,999
431,115592,527,451888469,452936697,1048228,1606669,0,prose,871
432,116119,550,452936697,453985499,1048802,1594406,0,prose,615
433,116669,357,453985499,455034466,1048967,1641501,6,url,1015
434,117026,382,455034466,456082902,1048436,1631132,10,mixed,1015
435,117408,413,456082902,457131352,1048450,1613224,10,mixed,1015
436,117821,451,457131352,458179200,1047848,1629276,0,prose,1015
437,118272,449,458179200,459227595,1048395,1579656,10,mixed,1015
438,118721,463,459227595,460276478,1048883,1626340,0,prose,1015
439,119184,415,460276478,461325735,1049257,1627819,0,prose,1015
440,119599,497,461325735,462374119,1048384,1622405,0,prose,743
441,120096,510,462374119,463421612,1047493,1603039,0,prose,615
442,120606,277,463421612,464470470,1048858,1636045,10,mixed,1015
443,120883,501,464470470,465519446,1048976,1611650,0,prose,615
444,121384,527,465519446,466568071,1048625,1613933,0,prose,615
445,121911,331,466568071,467610719,1042648,1620167,10,mixed,1015
446,122242,376,467610719,468659769,1049050,1622798,10,mixed,1015
