rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
229,395,414120179,1047416,45,7,12
230,207,217015871,1047427,42,6,17
231,442,463421612,1048858,322,52,12
232,250,262114976,1060224,45,11,12
233,305,319853216,1046932,29,9,12
234,232,243222974,1051100,51,13,12
235,306,320900148,1048934,71,13,13
236,289,303058980,1048563,54,12,12
237,499,523185708,1047713,722,112,12
238,526,551338164,1048610,3492,674,12
239,502,526317305,1047880,301,49,12
240,103,108054113,1055045,40,9,16
241,378,396297906,1047627,27,5,15
242,316,331388016,1052723,63,11,8
243,280,293619930,1048338,49,9,12
244,238,249525609,1048131,29,8,12
245,283,296765347,1050257,28,6,17
246,500,524233421,1037778,660,112,12
247,527,552386774,1048606,3029,603,13
248,5,5243475,1048325,96,14,2
249,28,29382763,1047972,84,14,16
250,405,424587785,1052385,74,16,12
251,389,407838930,1041373,45,13,12
252,57,59816997,1047586,49,11,11
253,341,357584239,1044338,41,9,12
254,344,360733023,1048107,31,7,14
255,528,553435380,1048533,3428,642,13
256,267,279950692,1054372,47,7,16
257,516,540869020,1239141,104,18,16
258,22,23094528,1044683,108,18,18
259,336,352326203,1057085,49,9,12
260,304,318803696,1049520,43,9,12
261,331,347083973,1049225,66,12,12
262,291,305164045,1049572,21,4,16
263,393,412024078,1046428,41,9,12
264,529,554483913,383400,1344,250,14
265,518,543008316,991756,132,20,12
266,59,61910108,1051779,66,16,8
267,15,15749490,1048369,63,9,11
268,32,33581405,1055789,47,11,15
269,102,107006226,1047887,39,7,16
270,429,449791485,1047988,117,17,12
271,279,292572130,1047800,71,19,12
272,356,373254651,1048341,42,10,12
273,358,375344091,1048740,52,11,12
274,415,435076128,1045922,44,8,12
275,347,363867419,1046794,29,7,12
276,268,281005064,1051686,45,7,18
277,66,69260290,1048631,72,12,16
278,276,289408531,1048397,96,17,12
279,11,11543054,1047966,46,8,9
280,412,431934927,1041992,28,6,12
281,88,92334574,1044990,27,5,2
282,162,169882712,1048075,37,9,14
283,290,304107543,1056502,27,5,12
284,101,105963052,1043174,60,10,14
285,261,273662751,1047331,65,11,12
286,315,330339751,1048265,49,11,12
287,19,19943395,1047479,46,8,8
288,129,135298059,1053942,42,6,14
289,362,379542164,1044910,88,16,12
290,145,152070567,1048142,28,6,16
291,269,282056750,1050551,16,4,16
292,54,56673889,1049159,136,24,8
293,245,256863920,1048871,84,20,12
294,38,39887096,1050095,182,30,21
295,18,18895671,1047724,104,16,10
296,2,2097908,1048760,215,35,4
297,282,295717238,1048109,117,21,12
298,69,72413180,1048830,92,18,6
299,49,51429545,1048619,76,14,4
300,272,285202995,1046489,75,15,12
301,353,370141411,1044038,64,16,12
302,58,60864583,1045525,61,11,5
303,84,88136600,1048261,58,13,19
304,98,102809583,1052458,93,19,15
305,212,222249292,1048210,67,11,12
306,409,428788754,1038252,84,14,12
307,256,268414674,1050105,51,11,12
308,33,34637194,1045396,64,14,18
309,113,118538560,1041394,66,12,20
310,329,345017453,1048200,54,10,12
311,273,286249484,1050273,73,13,12
312,106,111208082,1048061,87,15,17
313,206,215970965,1044906,53,9,19
314,126,132143389,1052809,79,15,13
315,262,274710082,1048091,116,20,12
316,495,518991519,1048192,652,112,12
317,438,459227595,1048883,465,72,15
318,68,71359090,1054090,81,13,19
319,169,177194672,1049078,77,13,12
320,274,287299757,1055750,117,19,12
321,152,159408987,1048203,61,15,12
322,93,97572014,1047722,82,14,16
323,191,200245613,1048239,48,8,20
324,104,109109158,1049000,82,14,17
325,118,123764192,1047401,48,8,18
326,74,77649549,1049401,37,9,9
327,203,212823813,1047894,90,14,12
328,346,362819734,1047685,95,19,12
329,453,474956992,1048122,530,89,18
330,100,104910507,1052545,50,8,7
331,222,232720769,1047311,78,14,12
332,92,96523305,1048709,66,16,18
333,307,321949082,1048671,52,10,14
334,76,79749109,1047971,47,11,14
335,168,176163948,1030724,59,15,12
336,236,247430483,1048544,69,11,12
337,200,209675726,1047286,63,11,12
338,312,327181691,1047663,72,14,12
339,215,225393301,1048718,54,13,12
340,317,332440739,1039971,51,9,12
341,286,299910374,1047569,48,8,13
342,339,355486094,1048877,45,7,13
343,299,313551825,1048713,48,8,12
344,127,133196198,1048059,57,9,12
345,351,368053900,1048483,94,18,12
346,224,234819972,1047842,69,11,12
347,137,143684625,1059844,88,17,18
348,257,269464779,1048165,71,17,12
349,198,207577877,1047909,73,15,12
350,85,89184861,1050339,57,11,19
351,62,65063939,1049331,60,10,9
352,239,250573740,1047626,41,7,16
353,148,155214816,1048578,58,15,16
354,368,385815352,1048175,74,14,12
355,281,294668268,1048970,44,8,14
356,153,160457190,1049443,51,11,14
357,147,154165650,1049166,89,15,17
358,144,151029951,1040616,65,12,19
359,89,93379564,1048442,53,9,18
360,324,339763454,1045033,85,15,12
361,271,284155763,1047232,49,11,12
362,406,425640170,1044607,85,15,12
363,82,86038265,1049376,52,12,12
364,293,307271702,1043472,48,8,12
365,295,309360245,1044800,75,13,12
366,161,168838837,1043875,57,13,12
367,365,382679535,1046255,39,8,14
368,143,149985050,1044901,48,8,18
369,330,346065653,1018320,61,11,12
370,327,342927321,1047836,81,13,12
371,202,211774324,1049489,41,7,12
372,231,242172395,1050579,33,5,15
373,80,83944520,1045011,42,7,19
374,390,408880303,1043290,72,12,12
375,193,202341339,1048350,65,15,12
376,253,265275642,1043240,28,6,15
377,396,415167595,1048524,69,11,12
378,303,317753088,1050608,45,7,12
379,386,404700319,1041097,72,14,12
380,110,115398305,1047858,36,6,18
381,384,402590316,1050597,61,11,12
382,172,180343252,1042821,26,6,14
383,382,400495021,1047303,50,10,12
384,146,153118709,1046941,52,10,17
385,427,447690326,1052195,143,25,9
386,410,429827006,1055957,66,10,12
387,210,220156614,1044679,50,11,12
388,322,337672152,1046807,50,8,12
389,36,37785676,1053728,11,3,1
390,287,300957943,1050959,24,4,13
391,311,326131634,1050057,60,10,7
392,94,98619736,1047395,57,11,16
393,139,145792326,1049713,42,8,16
394,359,376392831,1050647,87,17,12
395,313,328229354,1063245,81,13,9
396,302,316704783,1048305,81,13,12
397,370,387908815,1049542,49,11,12
398,416,436122050,1048541,51,9,12
399,176,184532789,1042547,36,7,14
400,81,84989531,1048734,58,14,19
401,321,336621386,1050766,48,8,7
402,175,183486730,1046059,67,15,14
403,294,308315174,1045071,28,6,12
404,367,384766749,1048603,57,13,12
405,181,189758380,1048434,41,11,17
406,340,356534971,1049268,48,8,12
407,385,403640913,1059406,42,10,12
408,154,161506633,1047273,66,10,13
409,8,8392535,1054725,84,12,8
410,265,277854391,1046147,54,8,12
411,318,333480710,1049155,48,10,12
412,423,443490137,1051358,60,10,12
413,379,397345533,1049370,39,9,12
414,186,194999546,1050949,49,11,16
415,14,14699215,1050275,60,10,11
416,125,131096039,1047350,25,5,15
417,229,240064753,1051784,36,6,16
418,219,229584458,1043218,45,7,12
419,131,137402288,1047088,32,8,17
420,413,432976919,1050105,69,15,12
421,240,251621366,1049944,37,9,12
422,16,16797859,1046789,57,9,9
423,109,114355709,1042596,33,7,12
424,288,302008902,1050078,30,6,12
425,166,174073824,1037472,41,9,12
426,417,437170591,1049760,69,11,12
427,192,201293852,1047487,33,5,18
428,235,246375727,1054756,26,6,15
429,521,546095219,1048565,3115,595,2
430,228,239008346,1056407,28,6,18
431,45,47228198,1048609,56,10,6
432,79,82895685,1048835,55,11,19
433,41,43034573,1047746,47,9,7
434,134,140539767,1048234,51,9,17
435,71,74505116,1045745,42,10,20
436,133,139489128,1050639,21,4,17
437,123,129000537,1042937,32,8,17
438,42,44082319,1047797,29,6,18
439,136,142635942,1048683,46,12,13
440,124,130043474,1052565,24,4,18
441,357,374302992,1041099,33,7,12
442,122,127956076,1044461,32,8,17
443,270,283107301,1048462,33,7,12
444,51,53526828,1047831,24,4,7
445,334,350229990,1047914,36,8,12
446,208,218063298,1047259,45,10,12
447,40,41986401,1048172,24,4,5
448,13,13641602,1057613,24,4,9
449,55,57723048,1049196,99,17,9
450,180,188710030,1048350,63,15,14
451,266,278900538,1050154,69,11,20
452,26,27289725,1049665,68,18,20
453,254,266318882,1049739,65,11,12
454,48,50375116,1054429,54,8,6
455,56,58772244,1044753,48,9,5
456,333,349177998,1051992,52,8,12
457,63,66113270,1048925,72,12,10
458,60,62961887,1052056,42,8,5
459,221,231673695,1047074,63,15,12
460,52,54574659,1048408,88,16,4
461,120,125859662,1047287,53,13,17
462,61,64013943,1049996,60,12,8
463,25,26242226,1047499,48,10,1
464,135,141588001,1047941,36,7,19
465,252,264225800,1049842,29,7,16
466,376,394203042,1048004,49,9,12
467,214,224346187,1047114,48,8,14
468,190,199197219,1048394,42,10,12
469,355,372214310,1040341,24,4,12
470,128,134244257,1053802,40,8,17
471,407,426684777,1048625,48,8,14
472,249,261059021,1055955,57,9,12
473,187,196050495,1045237,42,8,12
474,292,306213617,1058085,36,7,12
475,132,138449376,1039752,45,7,17
476,352,369102383,1039028,37,7,12
477,112,117490417,1048143,32,6,13
478,183,191852700,1047401,45,11,12
479,285,298864512,1045862,28,6,16
480,337,353383288,1041599,18,4,15
481,220,230627676,1046019,54,12,12
482,338,354424887,1061207,12,2,14
483,243,254771951,1044928,45,7,12
484,164,171975646,1049530,40,8,16
485,160,167792650,1046187,28,6,15
486,234,245326624,1049103,41,9,12
487,328,343975157,1042296,51,11,12
488,248,260009461,1049560,60,12,12
489,301,315647810,1056973,45,10,12
490,258,270512944,1050707,28,6,12
491,278,291505987,1066143,24,4,13
492,223,233768080,1051892,21,4,18
493,230,241116537,1055858,23,5,13
494,73,76600145,1049404,28,6,11
495,158,165692357,1048654,43,11,12
496,383,401542324,1047992,28,6,12
497,342,358628577,1049845,18,4,14
498,138,144744469,1047857,37,8,17
499,3,3146668,1048846,48,8,6
500,343,359678422,1054601,25,5,12
501,411,430882963,1051964,31,7,12
502,308,322997753,1041930,60,10,3
503,259,271563651,1048845,43,9,12
504,44,46176335,1051863,27,5,2
505,218,228534656,1049802,50,8,1
506,309,324039683,1045659,49,9,4
507,374,392101974,1050040,26,6,12
508,53,55623067,1050822,35,9,9
509,419,439285172,1045813,21,4,12
510,10,10494038,1049016,63,9,3
511,39,40937191,1049210,6,2,2
512,50,52478164,1048664,98,22,4
513,47,49326598,1048518,96,16,4
514,6,6291800,1050555,33,5,6
515,7,7342355,1050180,31,5,7
516,46,48276807,1049791,76,14,5
517,29,30430735,1054148,32,6,1
518,17,17844648,1051023,15,3,3
519,9,9447260,1046778,22,4,1
520,34,35682590,1052933,12,2,1
521,421,441379615,1058817,111,23,12
522,422,442438432,1051705,66,14,12
