rank,source_group,source_start,source_length,source_class,candidate_recipients,recipient_classes,aggregate_phrase_score,aggregate_overlap_windows,best_recipient_score
84,98,102809583,1052458,mixed,21,1,904,464,242054.4372624809
85,229,240064753,1051784,url,21,1,759,282,89714.52875347694
86,54,56673889,1049159,mixed,20,1,548,459,66421.0080304052
87,251,263175200,1050600,mixed,20,1,650,429,56618.80939688836
88,168,176163948,1030724,mixed,20,1,703,385,56586.593666397064
89,239,250573740,1047626,url,20,1,794,272,91427.00031500032
90,174,182438310,1048420,list,19,1,822,547,120289.8687664042
91,212,222249292,1048210,mixed,19,1,956,439,113975.64324492012
92,358,375344091,1048740,mixed,19,1,1183,397,139057.93052002095
93,103,108054113,1055045,url,19,1,900,378,109441.07809956696
94,357,374302992,1041099,list,19,1,1056,356,121285.16882126642
95,343,359678422,1054601,mixed,19,1,1126,297,138570.37785518327
96,424,444541495,1045024,mixed,18,1,4592,13211,435575.477750878
97,155,162553906,1047278,list,18,1,2257,994,424727.2217041119
98,361,378494437,1047727,mixed,18,1,988,511,112062.80151894044
99,137,143684625,1059844,list,18,1,645,444,75147.37020440734
100,218,228534656,1049802,prose,18,1,1797,435,218016.52406615872
101,327,342927321,1047836,mixed,18,1,1237,418,242090.91850456363
102,157,164645993,1046364,list,18,1,524,382,79948.56431320547
103,257,269464779,1048165,mixed,18,1,1271,371,169356.6910119267
104,31,32531029,1050376,url,18,1,132,358,12839.533499984569
105,283,296765347,1050257,url,18,1,913,297,207828.42759071593
106,217,227488419,1046237,prose,17,1,1162,575,147904.4667236446
107,77,80797080,1048978,mixed,17,1,930,490,111193.98258086357
108,38,39887096,1050095,list,17,1,731,459,148061.69268693507
109,464,486490859,1049387,prose,16,1,6963,25398,1003942.5085908035
110,429,449791485,1047988,mixed,16,1,4429,10465,364895.4895028404
111,138,144744469,1047857,list,16,1,608,381,74939.21944632006
112,353,370141411,1044038,mixed,16,1,1003,369,139127.58090071206
113,308,322997753,1041930,prose,16,1,1838,344,217934.18844081025
114,215,225393301,1048718,mixed,16,1,1009,306,169078.77929423336
115,396,415167595,1048524,list,16,1,883,301,131781.16882126642
116,356,373254651,1048341,mixed,16,1,1003,299,138879.28835460127
117,341,357584239,1044338,mixed,16,1,1106,270,182520.503806911
118,380,398394903,1051957,list,16,1,866,250,107768.65587518885
119,435,456082902,1048450,mixed,15,1,6653,15108,637409.0017231476
120,156,163601184,1044809,list,15,1,497,620,102599.17293612724
121,52,54574659,1048408,mixed,15,1,96,618,18968.766887213416
122,392,410974471,1049607,list,15,1,1141,348,190319.27811904257
123,311,326131634,1050057,prose,15,1,2068,330,226260.91819084078
124,152,159408987,1048203,list,15,1,426,321,55540.50114843965
125,76,79749109,1047971,mixed,15,1,941,315,109629.06890714924
126,234,245326624,1049103,mixed,15,1,1002,305,169252.47411779172
127,173,181386073,1052237,list,15,1,369,288,55640.98442595471
128,118,123764192,1047401,url,15,1,446,254,61743.47410793477
129,326,341876811,1050510,mixed,15,1,1330,249,603244.4241893076
130,476,499072095,1047966,prose,14,1,6366,23969,730479.2926447574
131,466,488588139,1047723,prose,14,1,7391,18442,1129209.621483376
132,432,452936697,1048802,prose,14,1,5237,17994,730484.3183506405
133,366,383725790,1040959,mixed,14,1,787,300,111644.32823932574
134,158,165692357,1048654,list,14,1,402,297,55574.59485924113
135,309,324039683,1045659,prose,14,1,1439,262,210012.0788296824
136,144,151029951,1040616,list,14,1,350,201,43945.29235420078
137,474,496975100,1048117,prose,13,1,6141,19456,886017.4086629002
138,458,480198852,1047896,prose,13,1,5576,18352,615785.6857023125
139,449,470755850,1045649,prose,13,1,6460,16004,855694.4586499777
140,434,455034466,1048436,mixed,13,1,3388,13335,433475.0235496841
141,445,466568071,1042648,mixed,13,1,4008,12777,567709.7488878268
142,7,7342355,1050180,list,13,1,598,1363,98610.79401072155
143,171,179295928,1047324,list,13,1,651,292,120216.91843644198
144,202,211774324,1049489,mixed,13,1,749,270,113975.64324492012
145,172,180343252,1042821,list,13,1,609,269,102990.30749810654
146,263,275758173,1044947,mixed,13,1,438,232,69275.20929515826
147,393,412024078,1046428,list,13,1,701,226,90556.26332288401
148,307,321949082,1048671,list,13,1,325,206,42895.94748197004
149,355,372214310,1040341,url,13,1,968,205,207901.8084341288
150,140,146842039,1044950,list,13,1,299,165,55301.817451241
151,444,465519446,1048625,prose,12,1,5234,16716,788587.5631053494
152,12,12591020,1050582,list,12,1,205,842,61394.72637122355
153,97,101762496,1047087,mixed,12,1,462,338,88774.50242627846
154,112,117490417,1048143,url,12,1,329,298,51949.263865338966
155,200,209675726,1047286,mixed,12,1,534,291,114290.84287265394
156,19,19943395,1047479,list,12,1,224,276,41520.02870549269
157,384,402590316,1050597,mixed,12,1,674,256,111714.0737859282
158,187,196050495,1045237,list,12,1,1041,212,524255.4506146672
159,408,427733402,1055352,list,12,1,947,160,522959.72530733363
160,232,243222974,1051100,mixed,12,1,375,153,70007.54550991405
161,478,501168480,1047973,prose,11,1,4358,17959,640544.0958785738
162,470,492781013,1047740,prose,11,1,5793,17290,1098937.4475822672
163,454,476005114,1048830,prose,11,1,3906,15401,584915.5587250764
164,443,464470470,1048976,prose,11,1,4496,13955,692285.6584278016
165,447,468659769,1048306,mixed,11,1,3720,12051,571664.0564726645
166,437,458179200,1048395,mixed,11,1,2643,11457,568688.1342696423
167,8,8392535,1054725,list,11,1,277,1083,81490.72637122356
168,74,77649549,1049401,url,11,1,495,275,118279.64111966752
169,193,202341339,1048350,mixed,11,1,341,197,76469.36182071528
170,463,485442897,1047962,prose,10,1,6401,16258,1127788.7391304348
171,448,469708075,1047775,prose,10,1,4574,13138,714914.1288515406
172,438,459227595,1048883,prose,10,1,3212,13091,465065.2689695043
173,452,473897987,1059005,prose,10,1,3134,12911,544825.4341459817
174,436,457131352,1047848,prose,10,1,4715,12368,1025321.9310344828
175,425,445586519,1055183,mixed,10,1,1480,7267,242858.9612562573
176,442,463421612,1048858,mixed,10,1,3163,6667,563959.2715908673
177,150,157314043,1046398,list,10,1,371,380,75425.41345533823
178,149,156263394,1050649,list,10,1,395,325,75147.37020440734
179,259,271563651,1048845,list,10,1,547,285,131665.19349807646
180,506,530510855,1048352,list,10,1,3293,253,806807.2217041119
181,371,388958357,1054637,list,10,1,843,196,524471.4048325561
182,114,119579954,1048210,url,10,1,430,187,109024.53904978349
183,189,198147847,1049372,url,10,1,320,185,111261.8084341288
184,477,500120061,1048419,prose,9,1,5615,16184,867114.2410015649
185,460,482295161,1049184,prose,9,1,3557,15290,593313.7896949803
186,468,490684771,1048061,prose,9,1,3908,14512,759582.2173913043
187,465,487540246,1047893,prose,9,1,3982,13586,625511.2225063939
188,451,472849548,1048439,prose,9,1,3256,12606,618197.8721502011
189,469,491732832,1048181,mixed,9,1,3836,9839,679951.4033149171
190,446,467610719,1049050,mixed,9,1,2232,8430,362733.74200292706
191,421,441379615,1058817,list,9,1,1173,798,247404.10090882628
192,507,531559207,1048646,list,9,1,2962,598,808631.5937214935
193,504,528413765,1048611,xml,9,1,23893,389,3432365.0777000487
194,209,219110557,1046057,url,9,1,481,192,109371.65492460305
195,30,31484883,1046146,url,9,1,64,192,50934.30721503824
196,32,33581405,1055789,list,9,1,127,187,24399.28663357235
197,254,266318882,1049739,mixed,9,1,316,162,76574.25545750116
198,492,515845125,1049095,prose,8,1,4034,14802,887611.7211182216
199,471,493828753,1049457,prose,8,1,3283,13288,754454.5900716067
200,459,481246748,1048413,prose,8,1,4296,12592,797400.795190499
201,479,502216453,1049001,prose,8,1,4207,12053,857378.7932879964
202,441,462374119,1047493,prose,8,1,3050,9851,687820.4264427186
203,482,505362867,1048252,mixed,8,1,3583,6951,765693.4127957931
204,521,546095219,1048565,xml,8,1,12060,6702,3483648.533407176
205,422,442438432,1051705,list,8,1,982,1765,247400.14440979113
206,398,417255805,1048044,url,8,1,743,331,208048.57012095457
207,390,408880303,1043290,mixed,8,1,616,327,152578.14210615566
208,80,83944520,1045011,mixed,8,1,407,211,151459.3962921488
209,94,98619736,1047395,mixed,8,1,1313,177,603479.5302366345
210,34,35682590,1052933,mixed,8,1,39,172,11613.824587246057
211,196,205486793,1041362,mixed,8,1,448,157,113765.51015976424
212,491,514796869,1048256,prose,7,1,3581,13788,774816.010140437
213,490,513748968,1047901,prose,7,1,3811,13708,786786.1326479727
214,493,516894220,1049390,prose,7,1,4943,12024,1136412.8841747984
215,461,483344345,1048184,prose,7,1,4277,11629,909485.1864832946
216,472,494878210,1048247,prose,7,1,3056,11536,674324.5373501383
217,475,498023217,1048878,mixed,7,1,2916,9033,580808.0873645955
218,439,460276478,1049257,prose,7,1,2666,8565,677107.7096188748
219,522,547143784,1048619,xml,7,1,10950,5850,3217446.910307999
220,485,508507664,1048084,mixed,7,1,2419,4473,765752.1893076249
221,508,532607853,1048529,list,7,1,1318,428,573486.7645420285
222,126,132143389,1052809,mixed,7,1,269,179,66523.32089780441
223,68,71359090,1054090,mixed,7,1,449,151,109733.39648539685
224,204,213871707,1048295,url,7,1,387,140,109302.23174963913
225,106,111208082,1048061,mixed,7,1,273,136,66319.46348072423
226,344,360733023,1048107,mixed,7,1,288,119,69931.87277525885
227,122,127956076,1044461,mixed,7,1,188,113,41347.336487067645
228,462,484392529,1050368,prose,6,1,3035,10571,867986.2342946398
229,494,517943610,1047909,prose,6,1,3059,9011,843147.8133220195
230,455,477053944,1049318,prose,6,1,2317,7402,571541.4139252404
231,450,471801499,1048049,mixed,6,1,1282,5672,362396.2518829315
232,523,548192403,1048565,xml,6,1,9697,4712,3445612.599150088
233,467,489635862,1048909,list,6,1,1261,722,524903.313268334
234,510,534703985,1048494,list,6,1,601,235,402767.801409143
235,403,422496780,1048698,url,6,1,601,197,191336.30893088627
236,400,419351577,1048012,url,6,1,634,193,209516.18698921215
237,484,507459891,1047773,list,6,1,1409,180,524471.4048325561
238,23,24139211,1054234,list,6,1,41,166,13862.344937387097
239,75,78698950,1050159,mixed,6,1,321,143,109559.51718831748
240,96,100715632,1046864,mixed,6,1,147,134,41276.04941306619
241,184,192900101,1047633,list,6,1,1589,133,423431.49639677827
242,110,115398305,1047858,url,6,1,200,127,56645.54601226994
243,391,409923593,1050878,mixed,6,1,362,123,85782.3084413358
244,170,178243750,1052178,list,6,1,289,119,102599.17293612724
245,105,110158158,1049924,mixed,6,1,1264,112,603361.9772129711
246,121,126906949,1049127,mixed,6,1,116,104,26081.503633452394
247,165,173025176,1048648,list,6,1,182,100,53097.35649620749
248,279,292572130,1047800,mixed,6,1,217,96,76364.4681839294
249,495,518991519,1048192,prose,5,1,2166,8928,671834.270679061
250,473,495926457,1048643,prose,5,1,1758,7197,507423.93114241003
251,487,510603142,1048535,prose,5,1,2447,5653,644763.9688920615
252,524,549240968,1048632,xml,5,1,9473,4023,3824462.7852597306
253,426,446641702,1048624,url,5,1,997,3716,380102.65183871187
254,456,478103262,1048852,list,5,1,2030,3054,565409.4118625853
255,402,421448568,1048212,url,5,1,547,246,213258.61000326904
256,48,50375116,1054429,url,5,1,8,128,4055.7474824302535
257,181,189758380,1048434,url,5,1,178,125,87109.06160878761
258,313,328229354,1063245,prose,5,1,6,106,3117.4722812987384
259,262,274710082,1048091,mixed,5,1,163,102,48887.08180588018
260,89,93379564,1048442,mixed,5,1,123,94,29114.74313755559
261,183,191852700,1047401,mixed,5,1,263,75,72722.34838070469
262,223,233768080,1051892,url,5,1,66,60,22588.27831616276
263,496,520039711,1049031,prose,4,1,2257,7765,901321.4995635267
264,483,506411119,1048772,mixed,4,1,1551,5445,627508.3201016196
265,453,474956992,1048122,prose,4,1,1251,5398,421243.0677334106
266,525,550289600,1048564,xml,4,1,8780,3199,3700106.124087318
267,428,448742521,1048964,url,4,1,590,1929,228380.33655846515
268,423,443490137,1051358,list,4,1,704,856,245543.26870689358
269,4,4195514,1047961,mixed,4,1,233,597,114691.9790522741
270,11,11543054,1047966,list,4,1,14,124,6024.677898909811
271,372,390012994,1038573,mixed,4,1,178,98,57063.40505287152
272,281,294668268,1048970,url,4,1,208,91,81634.30890613332
273,55,57723048,1049196,mixed,4,1,81,83,26155.990691407926
274,238,249525609,1048131,mixed,4,1,142,71,48746.07596177408
275,330,346065653,1018320,mixed,4,1,227,50,92715.87277525885
276,497,521088742,1048925,prose,3,1,2064,4996,821349.4781751508
277,480,503265454,1048905,mixed,3,1,762,4014,352060.6404855157
278,526,551338164,1048610,xml,3,1,6859,2284,3629118.0038124286
279,433,453985499,1048967,url,3,1,414,1678,192203.98731961826
280,457,479152114,1046738,list,3,1,716,1579,439450.4099413966
281,503,527365185,1048580,mixed,3,1,3356,649,2460929.907099036
282,266,278900538,1050154,list,3,1,108,413,55139.82368874661
283,515,539848779,1020241,list,3,1,366,307,259306.46510728783
284,21,22039791,1054737,list,3,1,53,192,28649.125867195242
285,319,334529865,1047954,mixed,3,1,75,63,35224.27059364933
286,381,399446860,1048161,list,3,1,995,59,423431.49639677827
287,389,407838930,1041373,url,3,1,208,58,107801.37173284846
288,298,312501489,1050336,mixed,3,1,78,58,34985.93360815795
289,297,311453368,1048121,mixed,3,1,621,52,603420.7537248028
290,235,246375727,1054756,url,3,1,191,45,109163.38539971132
291,379,397345533,1049370,list,3,1,54,28,33198.87147335423
292,498,522137667,1048041,prose,2,1,1158,3005,681694.1231271324
293,486,509555748,1047394,mixed,2,1,600,2078,404179.5250792785
294,481,504314359,1048508,url,2,1,530,1332,339998.87190398615
295,527,552386774,1048606,xml,2,1,4122,1318,3415402.384541802
296,488,511651677,1048310,mixed,2,1,1269,684,765752.1893076249
297,517,542108161,900155,list,2,1,164,292,146964.3912623236
298,509,533656382,1047603,list,2,1,518,234,369893.2230050795
299,514,538902052,946727,list,2,1,18,190,17038.30899361298
300,37,38839404,1047692,mixed,2,1,31,127,22963.91893478328
301,6,6291800,1050555,list,2,1,66,115,49289.032791118
302,505,529462376,1048479,mixed,2,1,1040,48,848024.8483786152
303,24,25193445,1048781,list,2,1,2,48,2189.008610086101
304,397,416216119,1039686,url,2,1,140,47,111445.260542661
305,60,62961887,1052056,url,2,1,8,47,5247.406771870691
306,401,420399589,1048979,mixed,2,1,87,40,49042.87038988409
307,513,537847452,1054600,list,2,1,63,38,63978.25720697393
308,198,207577877,1047909,mixed,2,1,84,37,63478.43932411674
309,240,251621366,1049944,mixed,2,1,57,37,35218.85943878371
310,334,350229990,1047914,mixed,2,1,37,32,26067.19776543172
311,230,241116537,1055858,mixed,2,1,88,27,48607.55697133056
312,511,535752479,1045767,list,2,1,6,12,3486.7215579770145
313,499,523185708,1047713,prose,1,1,520,1994,625990.4524551254
314,501,525271199,1046106,url,1,1,150,1214,202395.97956439902
315,528,553435380,1048533,xml,1,1,1344,514,1460896.9357184982
316,414,434027024,1049104,list,1,1,44,275,55835.87052832193
317,346,362819734,1047685,mixed,1,1,24,173,31187.299255644437
318,267,279950692,1054372,list,1,1,3,151,8501.749654770307
319,65,68210996,1049294,mixed,1,1,12,98,16017.613006527898
320,275,288355507,1053024,mixed,1,1,69,82,75108.00517464425
321,10,10494038,1049016,list,1,1,21,79,24692.20522891862
322,411,430882963,1051964,list,1,1,13,75,16376.530763528539
323,87,91284118,1050456,template,1,1,27,41,29777.22800541405
324,160,167792650,1046187,list,1,1,24,35,26367.334890008602
325,36,37785676,1053728,url,1,1,21,32,23067.562879980247
326,271,284155763,1047232,list,1,1,12,30,13650.452493696575
327,151,158360441,1048546,list,1,1,17,29,19121.13212195873
328,58,60864583,1045525,url,1,1,5,28,6285.405937548069
329,258,270512944,1050707,mixed,1,1,21,27,22888.068453658834
330,25,26242226,1047499,mixed,1,1,4,25,5285.065124434737
331,303,317753088,1050608,mixed,1,1,32,24,34434.30251945735
332,17,17844648,1051023,list,1,1,8,23,9308.613687886771
333,73,76600145,1049404,mixed,1,1,24,22,25913.854447439353
334,128,134244257,1053802,mixed,1,1,42,21,44566.33933869636
335,71,74505116,1045745,mixed,1,1,21,21,22680.112504984205
336,216,226442019,1046400,mixed,1,1,42,20,44539.55949320034
337,130,136352001,1050287,list,1,1,12,19,13265.128612937759
338,82,86038265,1049376,mixed,1,1,150,17,160404.29485067903
339,227,237961713,1046633,url,1,1,12,16,13161.970907977338
340,222,232720769,1047311,mixed,1,1,28,15,30023.38993017273
341,286,299910374,1047569,url,1,1,18,15,19526.74365404612
342,35,36735523,1050153,list,1,1,4,13,4866.357541214684
343,399,418303849,1047728,url,1,1,41,12,43657.360715016715
344,175,183486730,1046059,list,1,1,21,6,22160.235575889703
345,186,194999546,1050949,list,1,1,4,3,4527.360778988507
346,43,45130116,1046219,list,1,1,17,2,17933.827526010755
