rank,pack_id,recipient_offset,recipient_length,best_phrase_score,best_signature_hits,candidate_count
175,5,5243475,1048325,96,14,4
176,178,186621099,1049227,95,23,32
177,43,45130116,1046219,95,21,32
178,346,362819734,1047685,95,19,32
179,351,368053900,1048483,94,18,32
180,98,102809583,1052458,93,19,32
181,349,365963912,1044354,93,19,32
182,188,197095732,1052115,93,17,32
183,197,206528155,1049722,93,17,32
184,69,72413180,1048830,92,18,6
185,163,170930787,1044859,92,14,32
186,86,90235200,1048918,91,17,24
187,184,192900101,1047633,91,17,32
188,335,351277904,1048299,91,17,32
189,130,136352001,1050287,91,15,30
190,247,258960628,1048833,90,16,32
191,12,12591020,1050582,90,14,12
192,203,212823813,1047894,90,14,32
193,251,263175200,1050600,90,14,32
194,314,329292599,1047152,90,14,32
195,156,163601184,1044809,89,21,32
196,147,154165650,1049166,89,15,32
197,225,235867814,1050750,89,15,32
198,52,54574659,1048408,88,16,5
199,117,122724346,1039846,88,16,21
200,362,379542164,1044910,88,16,32
201,137,143684625,1059844,88,14,32
202,394,413070506,1049673,87,19,32
203,359,376392831,1050647,87,17,32
204,27,28339390,1043373,87,15,16
205,106,111208082,1048061,87,15,32
206,326,341876811,1050510,87,15,32
207,402,421448568,1048212,87,15,32
208,159,166741011,1051639,87,13,32
209,408,427733402,1055352,86,14,32
210,77,80797080,1048978,85,21,30
211,226,236918564,1043149,85,15,32
212,324,339763454,1045033,85,15,32
213,371,388958357,1054637,85,15,32
214,381,399446860,1048161,85,15,32
215,400,419351577,1048012,85,15,32
216,406,425640170,1044607,85,15,32
217,245,256863920,1048871,84,20,32
218,372,390012994,1038573,84,16,32
219,28,29382763,1047972,84,14,17
220,233,244274074,1052550,84,14,32
221,319,334529865,1047954,84,14,32
222,409,428788754,1038252,84,14,32
223,8,8392535,1054725,84,12,11
224,24,25193445,1048781,83,13,18
225,93,97572014,1047722,82,14,29
226,104,109109158,1049000,82,14,32
227,320,335577819,1043567,81,17,32
228,68,71359090,1054090,81,13,28
229,302,316704783,1048305,81,13,32
230,313,328229354,1063245,81,13,13
231,327,342927321,1047836,81,13,32
232,514,538902052,946727,81,13,32
233,126,132143389,1052809,79,15,32
234,83,87087641,1048959,78,14,32
235,189,198147847,1049372,78,14,28
236,222,232720769,1047311,78,14,32
237,167,175111296,1052652,78,12,32
238,169,177194672,1049078,77,13,32
239,375,393152014,1051028,77,13,32
240,46,48276807,1049791,76,14,6
241,49,51429545,1048619,76,14,4
242,272,285202995,1046489,75,15,32
243,295,309360245,1044800,75,13,32
244,405,424587785,1052385,74,16,32
245,140,146842039,1044950,74,14,32
246,368,385815352,1048175,74,14,32
247,157,164645993,1046364,74,12,32
248,198,207577877,1047909,73,15,32
249,273,286249484,1050273,73,13,32
250,95,99667131,1048501,72,16,32
251,171,179295928,1047324,72,16,32
252,312,327181691,1047663,72,14,32
253,386,404700319,1041097,72,14,32
254,63,66113270,1048925,72,12,11
255,66,69260290,1048631,72,12,19
256,310,325085342,1046292,72,12,32
257,390,408880303,1043290,72,12,32
258,279,292572130,1047800,71,19,32
259,257,269464779,1048165,71,17,32
260,306,320900148,1048934,71,13,32
261,424,444541495,1045024,71,11,32
262,151,158360441,1048546,70,16,32
263,413,432976919,1050105,69,15,32
264,170,178243750,1052178,69,11,32
265,224,234819972,1047842,69,11,32
266,236,247430483,1048544,69,11,32
267,266,278900538,1050154,69,11,32
268,396,415167595,1048524,69,11,32
269,417,437170591,1049760,69,11,32
270,26,27289725,1049665,68,18,21
271,175,183486730,1046059,67,15,32
272,194,203389689,1048976,67,15,32
273,212,222249292,1048210,67,11,32
274,59,61910108,1051779,66,16,9
275,92,96523305,1048709,66,16,32
276,35,36735523,1050153,66,14,24
277,150,157314043,1046398,66,14,32
278,113,118538560,1041394,66,12,31
279,331,347083973,1049225,66,12,32
280,23,24139211,1054234,66,10,20
281,72,75550861,1049284,66,10,18
282,154,161506633,1047273,66,10,32
283,397,416216119,1039686,66,10,32
284,410,429827006,1055957,66,10,32
285,422,442438432,1051705,66,10,32
286,193,202341339,1048350,65,15,32
287,144,151029951,1040616,65,11,32
288,254,266318882,1049739,65,11,32
289,261,273662751,1047331,65,11,32
290,255,267368621,1046053,64,16,32
291,353,370141411,1044038,64,16,32
292,33,34637194,1045396,64,14,23
293,107,112256143,1047436,64,12,18
294,180,188710030,1048350,63,15,32
295,221,231673695,1047074,63,15,32
296,200,209675726,1047286,63,11,32
297,316,331388016,1052723,63,11,12
298,10,10494038,1049016,63,9,6
299,15,15749490,1048369,63,9,15
300,121,126906949,1049127,63,9,32
301,142,148933922,1051128,63,9,29
302,199,208625786,1049940,62,14,32
303,152,159408987,1048203,61,15,32
304,58,60864583,1045525,61,11,5
305,330,346065653,1018320,61,11,32
306,384,402590316,1050597,61,11,32
307,345,361781130,1038604,60,14,32
308,61,64013943,1049996,60,12,9
309,155,162553906,1047278,60,12,32
310,14,14699215,1050275,60,10,11
311,62,65063939,1049331,60,10,10
312,101,105963052,1043174,60,10,18
313,111,116446163,1044254,60,10,25
314,248,260009461,1049560,60,10,32
315,308,322997753,1041930,60,10,3
316,311,326131634,1050057,60,10,9
317,423,443490137,1051358,60,10,32
318,168,176163948,1030724,59,15,32
319,119,124811593,1048069,59,13,32
320,20,20990874,1048917,59,9,18
321,81,84989531,1048734,58,14,29
322,84,88136600,1048261,58,10,32
323,148,155214816,1048578,58,10,32
324,161,168838837,1043875,57,13,32
325,182,190806814,1045886,57,13,32
326,367,384766749,1048603,57,13,32
327,85,89184861,1050339,57,11,31
328,94,98619736,1047395,57,11,32
329,16,16797859,1046789,57,9,9
330,127,133196198,1048059,57,9,32
331,141,147886989,1046933,57,9,32
332,209,219110557,1046057,57,9,27
333,249,261059021,1055955,57,9,32
334,45,47228198,1048609,56,10,6
335,398,417255805,1048044,56,10,32
336,79,82895685,1048835,55,11,31
337,354,371185449,1028861,55,11,32
338,220,230627676,1046019,54,12,32
339,289,303058980,1048563,54,12,32
340,329,345017453,1048200,54,10,32
341,48,50375116,1054429,54,8,6
342,99,103862041,1048466,54,8,12
343,215,225393301,1048718,54,8,32
344,227,237961713,1046633,54,8,32
345,265,277854391,1046147,54,8,32
346,414,434027024,1049104,54,8,32
347,120,125859662,1047287,53,13,32
348,89,93379564,1048442,53,9,32
349,206,215970965,1044906,53,9,32
350,82,86038265,1049376,52,12,12
351,146,153118709,1046941,52,10,32
352,307,321949082,1048671,52,10,32
353,358,375344091,1048740,52,10,32
354,364,381629630,1049905,52,10,32
355,333,349177998,1051992,52,8,32
356,232,243222974,1051100,51,13,32
357,153,160457190,1049443,51,11,32
358,256,268414674,1050105,51,11,32
359,264,276803120,1051271,51,11,29
360,328,343975157,1042296,51,11,32
361,332,348133198,1044800,51,11,32
362,373,391051567,1050407,51,11,32
363,134,140539767,1048234,51,9,32
364,317,332440739,1039971,51,9,32
365,377,395251046,1046860,51,9,32
366,416,436122050,1048541,51,9,32
367,382,400495021,1047303,50,10,32
368,21,22039791,1054737,50,8,18
369,100,104910507,1052545,50,8,8
370,210,220156614,1044679,50,8,32
371,218,228534656,1049802,50,8,1
372,322,337672152,1046807,50,8,32
373,57,59816997,1047586,49,11,12
374,186,194999546,1050949,49,11,32
375,271,284155763,1047232,49,11,32
376,315,330339751,1048265,49,11,32
377,370,387908815,1049542,49,11,32
378,280,293619930,1048338,49,9,32
379,284,297815604,1048908,49,9,32
380,309,324039683,1045659,49,9,4
381,336,352326203,1057085,49,9,32
382,376,394203042,1048004,49,9,32
383,25,26242226,1047499,48,10,1
384,318,333480710,1049155,48,10,32
385,3,3146668,1048846,48,8,8
386,56,58772244,1044753,48,8,6
387,118,123764192,1047401,48,8,25
388,143,149985050,1044901,48,8,32
389,191,200245613,1048239,48,8,28
390,214,224346187,1047114,48,8,32
391,286,299910374,1047569,48,8,32
392,293,307271702,1043472,48,8,32
393,299,313551825,1048713,48,8,32
394,321,336621386,1050766,48,8,8
395,340,356534971,1049268,48,8,32
396,407,426684777,1048625,48,8,32
397,32,33581405,1055789,47,11,16
398,76,79749109,1047971,47,11,17
399,41,43034573,1047746,47,9,11
400,267,279950692,1054372,47,7,32
401,136,142635942,1048683,46,12,32
402,177,185575336,1045763,46,10,32
403,11,11543054,1047966,46,8,10
404,19,19943395,1047479,46,8,8
405,296,310405045,1048323,46,8,32
406,389,407838930,1041373,45,13,32
407,183,191852700,1047401,45,11,32
408,250,262114976,1060224,45,11,32
409,132,138449376,1039752,45,7,27
410,208,218063298,1047259,45,7,32
411,219,229584458,1043218,45,7,32
412,243,254771951,1044928,45,7,32
413,268,281005064,1051686,45,7,22
414,301,315647810,1056973,45,7,32
415,303,317753088,1050608,45,7,32
416,339,355486094,1048877,45,7,21
417,395,414120179,1047416,45,7,32
418,281,294668268,1048970,44,8,32
419,415,435076128,1045922,44,8,32
420,158,165692357,1048654,43,11,32
421,259,271563651,1048845,43,9,32
422,304,318803696,1049520,43,9,32
423,71,74505116,1045745,42,10,29
424,356,373254651,1048341,42,10,32
425,385,403640913,1059406,42,10,32
426,60,62961887,1052056,42,8,5
427,190,199197219,1048394,42,8,32
428,80,83944520,1045011,42,6,30
429,129,135298059,1053942,42,6,32
430,139,145792326,1049713,42,6,32
431,187,196050495,1045237,42,6,32
432,207,217015871,1047427,42,6,28
433,181,189758380,1048434,41,11,25
434,166,174073824,1037472,41,9,32
435,234,245326624,1049103,41,9,32
436,341,357584239,1044338,41,9,32
437,393,412024078,1046428,41,9,32
438,202,211774324,1049489,41,7,32
439,239,250573740,1047626,41,7,25
440,513,537847452,1054600,41,7,32
441,103,108054113,1055045,40,8,20
442,128,134244257,1053802,40,8,32
443,164,171975646,1049530,40,8,32
444,379,397345533,1049370,39,9,32
445,102,107006226,1047887,39,7,17
446,365,382679535,1046255,39,7,32
447,350,367008266,1045634,38,8,32
448,74,77649549,1049401,37,9,10
449,162,169882712,1048075,37,9,32
450,240,251621366,1049944,37,9,32
451,138,144744469,1047857,37,7,32
452,352,369102383,1039028,37,7,32
453,334,350229990,1047914,36,8,32
454,110,115398305,1047858,36,6,26
455,135,141588001,1047941,36,6,28
456,176,184532789,1042547,36,6,32
457,229,240064753,1051784,36,6,25
458,292,306213617,1058085,36,6,32
459,53,55623067,1050822,35,9,10
460,399,418303849,1047728,34,8,32
461,109,114355709,1042596,33,7,15
462,270,283107301,1048462,33,7,32
463,357,374302992,1041099,33,7,32
464,6,6291800,1050555,33,5,6
465,192,201293852,1047487,33,5,31
466,231,242172395,1050579,33,5,18
467,122,127956076,1044461,32,8,32
468,123,129000537,1042937,32,8,32
469,131,137402288,1047088,32,8,28
470,29,30430735,1054148,32,6,1
471,112,117490417,1048143,32,6,18
472,344,360733023,1048107,31,7,32
473,411,430882963,1051964,31,7,32
474,7,7342355,1050180,31,5,7
475,288,302008902,1050078,30,6,32
476,252,264225800,1049842,29,7,27
477,305,319853216,1046932,29,7,32
478,347,363867419,1046794,29,7,32
479,42,44082319,1047797,29,5,24
480,238,249525609,1048131,29,5,32
481,73,76600145,1049404,28,6,11
482,145,152070567,1048142,28,6,27
483,160,167792650,1046187,28,6,32
484,228,239008346,1056407,28,6,22
485,253,265275642,1043240,28,6,25
486,258,270512944,1050707,28,6,32
487,283,296765347,1050257,28,6,30
488,285,298864512,1045862,28,6,30
489,294,308315174,1045071,28,6,32
490,383,401542324,1047992,28,6,32
491,412,431934927,1041992,28,6,32
492,44,46176335,1051863,27,5,2
493,88,92334574,1044990,27,5,4
494,290,304107543,1056502,27,5,32
495,378,396297906,1047627,27,5,31
496,172,180343252,1042821,26,6,32
497,235,246375727,1054756,26,6,20
498,374,392101974,1050040,26,6,32
499,125,131096039,1047350,25,5,32
500,343,359678422,1054601,25,5,32
501,13,13641602,1057613,24,4,9
502,40,41986401,1048172,24,4,10
503,51,53526828,1047831,24,4,7
504,124,130043474,1052565,24,4,27
505,278,291505987,1066143,24,4,21
506,287,300957943,1050959,24,4,32
507,355,372214310,1040341,24,4,29
508,230,241116537,1055858,23,5,32
509,9,9447260,1046778,22,4,1
510,133,139489128,1050639,21,3,32
511,223,233768080,1051892,21,3,24
512,291,305164045,1049572,21,3,32
513,419,439285172,1045813,21,3,32
514,337,353383288,1041599,18,4,26
515,342,358628577,1049845,18,4,19
516,269,282056750,1050551,16,4,20
517,17,17844648,1051023,15,3,3
518,34,35682590,1052933,12,2,1
519,338,354424887,1061207,12,2,32
520,515,539848779,1020241,12,2,10
521,36,37785676,1053728,11,3,1
522,39,40937191,1049210,6,2,2
523,0,0,1048219,0,0,0
524,4,4195514,1047961,0,0,0
525,30,31484883,1046146,0,0,0
526,31,32531029,1050376,0,0,0
527,87,91284118,1050456,0,0,0
528,217,227488419,1046237,0,0,0
529,504,528413765,1048611,0,0,0
530,530,554867313,32271513,0,0,0
