date,group,prefix_end,scope,mode,donors,reference_bytes,candidate_bytes,plan_bytes,net_gain_bytes,compress_seconds,max_rss_kib,decompress_seconds,roundtrip,status,notes
2026-08-16,17,18895671,cumulative,donor_profile,"4195584:1024;7865344:4096",3606420,3606449,120,-29,5702.17,,,not_run,rejected_loss,"G17 try 2 of 4. Donor 7865344:4096 (score 15, tied), distance ~9,975,208 bytes. Lost by 29 bytes -- smallest single-donor loss margin seen this session."
2026-08-16,17,18895671,cumulative,donor_profile,"4195584:1024;16797952:4096",3606420,3606453,120,-33,5644.36,,,not_run,rejected_loss,"G17 try 3 of 4. Donor 16797952:4096 (score 10), distance ~1,042,600 bytes. Lost by 33 bytes. All 3 available candidates for G17 now tried as singles."
2026-08-16,17,18895671,cumulative,donor_profile,"4195584:1024;7865344:4096;16797952:4096",3606420,3606464,129,-44,5804.15,,,not_run,rejected_loss,"G17 try 4 of 4: pair of the two best singles (try2+try3). Lost by 44 bytes -- worse than either single alone. G17 rejected after exhausting all 3 available single candidates plus the best pair. accepted_donors.csv unchanged. Twelfth consecutive fully-rejected group since G5 (G6-G17)."
2026-08-16,18,19943395,cumulative,donor_profile,"4195584:1024;3080960:65536",3846564,3846626,120,-62,,,,not_run,rejected_loss,"G18 try 1. Top candidate 13641728:16384 (score 104) skipped, exact donor that lost for G14. Used 3080960:65536 (score 87), only ever tested as part of G3's rejected pair, never alone. Lost by 62 bytes. Compress-time seconds not captured (run completed during a session interruption; recovered result via direct file size read)."
2026-08-16,18,19943395,cumulative,donor_profile,"4195584:1024;13641728:16384;3080960:65536;1048320:65536;1540096:65536;2097920:16384;4129792:65536;16797952:4096",3846564,3846661,174,-97,7360.13,,,not_run,rejected_loss,"G18 try 2: 7-donor combo using all top-ranked candidates for this group (including donors that lost for other groups G6/G7/G8/G13/G14/G17, since a different recipient could respond differently). Lost by 97 bytes -- worse than the single-donor attempt (-62). 174-byte plan overhead (7 donors) far exceeded any combined payload savings; donors were not complementary. G18 rejected after 2 attempts (best single + max multi-donor combo). accepted_donors.csv unchanged. Thirteenth consecutive fully-rejected group since G5 (G6-G18)."
2026-08-17,19,20990874,cumulative,donor_profile,"4195584:1024;18368000:4096",4065521,4065544,120,-23,8224.92,,,not_run,rejected_loss,"G19 try 1. Only fresh candidate: 18368000:4096 (score 8), distance ~1,571,299 bytes. Lost by 23 bytes -- smallest single-donor loss margin this session."
2026-08-17,19,20990874,cumulative,donor_profile,"4195584:1024;3080960:65536;13641728:16384;1048320:65536;1540096:65536;2097920:16384;4129792:65536;16797952:4096",4065521,4065618,174,-97,8580.58,,,not_run,rejected_loss,"G19 try 2: 7-donor combo, all top-ranked candidates. Lost by 97 bytes -- again worse than the single. Same consistent pattern as G18: multi-donor combos have not beaten a single best donor in any group tested so far. G19 rejected after 2 attempts. accepted_donors.csv unchanged. Fourteenth consecutive fully-rejected group since G5 (G6-G19)."
2026-08-17,20,22039791,cumulative,donor_profile,"4195584:1024;13575936:65536",4281092,4281156,120,-64,6621.26,,,not_run,rejected_loss,"G20 try 1. Top candidate 7834624:65536 (score 59) is the exact donor that lost for G11; used 13575936:65536 (score 54, fresh) instead. Lost by 64 bytes."
2026-08-17,20,22039791,cumulative,donor_profile,"4195584:1024;16797952:4096",4281092,4281130,120,-38,6571.04,,,not_run,rejected_loss,"G20 try 2. Donor 16797952:4096 (score 47), same content that lost for G17 but a different recipient here. Lost by 38 bytes."
2026-08-17,20,22039791,cumulative,donor_profile,"4195584:1024;7834624:65536;13575936:65536;16797952:4096;13641728:16384;16271616:4096;3080960:65536;19943424:16384",4281092,4281198,174,-106,6385.80,,,not_run,rejected_loss,"G20 try 3: 7-donor combo, all top-ranked candidates. Lost by 106 bytes -- worst of the three attempts, consistent with G18/G19. G20 rejected after 3 attempts. accepted_donors.csv unchanged. Fifteenth consecutive fully-rejected group since G5 (G6-G20). Multi-donor combos are now 0-for-3 against single-donor bests across G18/G19/G20."
2026-08-18,21,23094528,cumulative,donor_profile,"4195584:1024;12591104:65536",4445692,4445745,120,-53,9352.35,,,not_run,rejected_loss,"G21 try 1. Top-2 candidates (13641728:16384, 8392704:65536) already lost for G14 and G12; used 12591104:65536 (score 42, fresh). Lost by 53 bytes. Reference run this group took ~4hrs (14520.67s) vs G20's 6825s, confirmed via isolated cold-start test to be a cumulative prefix-depth effect (PPM/model state growth after 22MB+ warm context), not a bug or pathological content -- runtimes expected to keep growing for subsequent groups."
2026-08-18,21,23094528,cumulative,donor_profile,"4195584:1024;16732160:65536",4445692,4445741,120,-49,8610.25,,,not_run,rejected_loss,"G21 try 2. Donor 16732160:65536 (score 37, fresh). Lost by 49 bytes."
2026-08-18,21,23094528,cumulative,donor_profile,"4195584:1024;12591104:65536;16732160:65536;8326912:65536",4445692,4445768,138,-76,8539.04,,,not_run,rejected_loss,"G21 try 3: 3-donor combo (try1+try2+one more fresh candidate). Lost by 76 bytes -- worst of the three, consistent with the multi-donor-combo-always-worse pattern from G18/G19/G20. G21 rejected after 3 attempts. accepted_donors.csv unchanged. Sixteenth consecutive fully-rejected group since G5 (G6-G21). Multi-donor combos now 0-for-4 across G18-G21."
2026-08-18,22,24139211,cumulative,donor_profile,"4195584:1024;16797952:16384",4653448,4653493,120,-45,11295.32,,,not_run,rejected_loss,"G22 try 1. Top-4 tied (score 108) all previous losers (G6/G7/G8/G13); next candidate 13641728:16384 also a loser (G14); used 16797952:16384 (score 29, fresh -- different length than the previously-tried 4096 at this offset). Lost by 45 bytes."
2026-08-18,22,24139211,cumulative,donor_profile,"4195584:1024;22534400:65536",4653448,4653510,120,-62,8386.80,,,not_run,rejected_loss,"G22 try 2. Donor 22534400:65536 (score 24, fresh). Lost by 62 bytes."
2026-08-18,22,24139211,cumulative,donor_profile,"4195584:1024;16797952:16384;22534400:65536;23090432:4096",4653448,4653525,138,-77,7759.08,,,not_run,rejected_loss,"G22 try 3: 3-donor combo. Lost by 77 bytes -- worst of the three, consistent with the multi-donor pattern. G22 rejected after 3 attempts. accepted_donors.csv unchanged. Seventeenth consecutive fully-rejected group since G5 (G6-G22). Multi-donor combos now 0-for-5 across G18-G22."
2026-08-19,23,25193445,cumulative,donor_profile,"4195584:1024;16781312:16384",4868308,4868340,120,-32,8912.09,,,not_run,rejected_loss,"G23 try 1. Top candidates all previous losers; used 16781312:16384 (score 21, fresh -- distinct offset from the previously-tried 16797952). Lost by 32 bytes."
2026-08-19,23,25193445,cumulative,donor_profile,"4195584:1024;8911616:16384",4868308,4868359,120,-51,8324.42,,,not_run,rejected_loss,"G23 try 2. Donor 8911616:16384 (score 15, fresh). Lost by 51 bytes."
2026-08-19,23,25193445,cumulative,donor_profile,"4195584:1024;16781312:16384;8911616:16384;12591104:256",4868308,4868385,138,-77,8544.31,,,not_run,rejected_loss,"G23 try 3: 3-donor combo. Lost by 77 bytes -- worst of the three, consistent pattern. G23 rejected after 3 attempts. accepted_donors.csv unchanged. Eighteenth consecutive fully-rejected group since G5 (G6-G23). Multi-donor combos now 0-for-6 across G18-G23."
2026-08-19,24,26242226,cumulative,donor_profile,"4195584:1024;15749632:65536",5106574,5106631,120,-57,12610.22,,,not_run,rejected_loss,"G24 try 1. Top candidates all previous losers; used 15749632:65536 (score 25, fresh -- different length than the previously-tried 4096 at this offset). Lost by 57 bytes."
2026-08-19,24,26242226,cumulative,donor_profile,"4195584:1024;19943424:16384",5106574,5106624,120,-50,13499.31,,,not_run,rejected_loss,"G24 try 2. Donor 19943424:16384 (fresh -- different length than previously-tried 256 at this offset). Lost by 50 bytes."
2026-08-19,24,26242226,cumulative,donor_profile,"4195584:1024;15749632:65536;19943424:16384;24139264:256",5106574,5106652,138,-78,12145.07,,,not_run,rejected_loss,"G24 try 3: 3-donor combo. Lost by 78 bytes -- worst of the three, consistent pattern. G24 rejected after 3 attempts. accepted_donors.csv unchanged. Nineteenth consecutive fully-rejected group since G5 (G6-G24). Multi-donor combos now 0-for-7 across G18-G24."
2026-08-20,25,27289725,cumulative,donor_profile,"4195584:1024;5759488:16384",5347781,5347836,120,-55,13021.46,,,not_run,rejected_loss,"G25 is mixed-class (same structural limitation as G4/G9 -- same-class-only ranker search found exactly one candidate: 5759488:16384, the exact donor that already lost for G9). Tested anyway since it was the only option. Lost by 55 bytes. No second single or combo attempted -- no other candidates existed. G25 rejected after 1 attempt. accepted_donors.csv unchanged. Twentieth consecutive fully-rejected group since G5 (G6-G25)."
