recipient_group,source_group,donor_windows,donor_window_count,donor_bytes,phrase_score,signature_hits,overlap_windows,screen_score,donor_estimate_low,donor_estimate_expected,donor_estimate_high,evidence,recipient_start,recipient_length,recipient_class,source_start,source_class,source_reuse_candidates,estimated_plan_bytes_amortized,donor_estimate_net,scr2_macro_hits,scr2_raw_saving_bytes,scr2_cross_boundary_hits,scr2_top_macros,scr2_raw_reduction_pct,scr2_entropy_estimate,mini11_oracle_high,mini11_expected_net,combined_expected_net,confidence,validation,rank
472,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,31,31,0.001191208,0.0,352.8529411764706,1411.4117647058824,validated_source_proxy,494878210,1048247,prose,406790108,mixed,64,7.28125,345.5716911764706,5618,81179,0,M13:21080;M3:11132;M7:10934;M14:5709;M67:5160,7.744262564071255,0.0,5.938264143461938,0.0,345.5716911764706,medium,exact_warm_prefix_required,31
485,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,31,31,0.001093822,0.0,352.8529411764706,1411.4117647058824,validated_source_proxy,508507664,1048084,mixed,406790108,mixed,64,7.28125,345.5716911764706,5327,57655,1,M1:9706;M7:8624;M100:4280;M128:4150;M17:3152,5.500990378633774,0.0,0.0,0.0,345.5716911764706,medium,exact_warm_prefix_required,32
511,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,30,30,0.000983123,0.0,341.4705882352941,1365.8823529411764,validated_source_proxy,535752479,1045767,list,406790108,mixed,64,7.28125,334.1893382352941,7092,96991,0,M7:25586;M39:14716;M9:10593;M3:10538;M6:8262,9.274628095933416,0.0,8.910963408838441,0.0,334.1893382352941,medium,exact_warm_prefix_required,33
430,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,30,30,0.001063377,0.0,341.4705882352941,1365.8823529411764,validated_source_proxy,450839473,1048996,prose,406790108,mixed,64,7.28125,334.1893382352941,5276,61623,0,M7:9460;M3:8602;M43:6888;M14:5434;M17:4000,5.874474259196413,0.0,5.942507189083297,0.0,334.1893382352941,medium,exact_warm_prefix_required,34
450,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,30,30,0.001028595,0.0,341.4705882352941,1365.8823529411764,validated_source_proxy,471801499,1048049,mixed,406790108,mixed,64,7.28125,334.1893382352941,4585,48170,1,M1:8487;M7:5346;M17:3344;M18:3336;M14:2981,4.596159149047421,0.0,0.0,0.0,334.1893382352941,medium,exact_warm_prefix_required,35
424,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,30,30,0.000991539,0.0,341.4705882352941,1365.8823529411764,validated_source_proxy,444541495,1045024,mixed,406790108,mixed,64,7.28125,334.1893382352941,3727,41151,1,M7:4532;M1:3611;M3:3498;M14:3014;M13:2805,3.9378042992314053,0.0,0.0,0.0,334.1893382352941,medium,exact_warm_prefix_required,36
470,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,29,29,0.001158887,0.0,330.0882352941176,1320.3529411764705,validated_source_proxy,492781013,1047740,prose,406790108,mixed,64,7.28125,322.8069852941176,6007,73787,0,M7:11726;M3:11198;M13:6970;M14:6039;M18:4408,7.0424914578044175,0.0,5.93539201511744,0.0,322.8069852941176,medium,exact_warm_prefix_required,37
439,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,29,29,0.001002073,0.0,330.0882352941176,1320.3529411764705,validated_source_proxy,460276478,1049257,prose,406790108,mixed,64,7.28125,322.8069852941176,4492,58759,0,M13:9945;M3:8228;M7:7920;M14:4290;M43:3514,5.600057945765432,0.0,5.943985740361234,0.0,322.8069852941176,medium,exact_warm_prefix_required,38
414,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,29,29,0.000906052,0.0,330.0882352941176,1320.3529411764705,validated_source_proxy,434027024,1049104,list,406790108,mixed,64,7.28125,322.8069852941176,6361,55386,1,M81:31730;M38:3516;M28:3096;M1:2484;M2:1358,5.279362198599948,0.0,8.939397930959807,0.0,322.8069852941176,medium,exact_warm_prefix_required,39
467,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,29,29,0.001004816,0.0,330.0882352941176,1320.3529411764705,validated_source_proxy,489635862,1048909,list,406790108,mixed,64,7.28125,322.8069852941176,3775,40063,0,M1:4577;M3:4070;M2:3752;M17:2984;M18:2976,3.819492444053774,0.0,8.937736339166678,0.0,322.8069852941176,medium,exact_warm_prefix_required,40
503,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,28,28,0.00102945,0.0,318.70588235294116,1274.8235294117646,validated_source_proxy,527365185,1048580,mixed,406790108,mixed,64,7.28125,311.42463235294116,17889,218047,0,M3:46926;M2:44436;M31:30720;M41:18676;M9:16478,20.794503042209463,0.0,0.0,0.0,311.42463235294116,medium,exact_warm_prefix_required,41
436,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,28,28,0.000972492,0.0,318.70588235294116,1274.8235294117646,validated_source_proxy,457131352,1047848,prose,406790108,mixed,64,7.28125,311.42463235294116,4953,58186,0,M7:7260;M3:7216;M13:5270;M14:4213;M17:3584,5.55290461975401,0.0,5.936003829439344,0.0,311.42463235294116,medium,exact_warm_prefix_required,42
433,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,28,28,0.000924611,0.0,318.70588235294116,1274.8235294117646,validated_source_proxy,453985499,1048967,url,406790108,mixed,64,7.28125,311.42463235294116,4537,49970,1,M7:6424;M1:5244;M13:4165;M14:3575;M20:3080,4.763734226148201,0.0,2.8286934468088067,0.0,311.42463235294116,medium,exact_warm_prefix_required,43
488,388,407573504:4096;407581696:2048;407775744:2048;407787520:4096;407793664:4096;407799808:4096;407810048:2048,7,22528,0,28,28,0.000951831,0.0,318.70588235294116,1274.8235294117646,validated_source_proxy,511651677,1048310,mixed,406790108,mixed,64,7.28125,311.42463235294116,4519,49911,0,M7:7810;M1:4991;M3:4136;M17:3120;M18:3080,4.761091661817592,0.0,0.0,0.0,311.42463235294116,medium,exact_warm_prefix_required,44
3,2,2097920:16384;3080960:65536,2,81920,90,14,156,56001.324639,0.0,309.6,3096.0,uncalibrated_source_proxy,3146668,1048846,list,2097908,list,106,7.169811320754717,302.4301886792453,1120,13089,1,M1:4324;M2:2982;M9:1639;M6:1296;M4:1014,1.2479429773293695,0.0,8.937199517202746,0.0,302.4301886792453,low,exact_warm_prefix_required,45
2,1,1048320:65536;1540096:65536,2,131072,340,56,218,232868.677215,0.0,309.6,3096.0,uncalibrated_source_proxy,2097908,1048760,list,1048219,list,81,7.222222222222222,302.3777777777778,5840,61078,1,M1:21436;M2:13258;M9:7051;M6:5694;M28:3724,5.823830046912544,0.0,8.936466712617058,0.0,302.3777777777778,low,exact_warm_prefix_required,46
495,427,448183552:65536,1,65536,409,65,1328,484820.177092,0.0,309.6,3096.0,uncalibrated_source_proxy,518991519,1048192,prose,447690326,prose,37,7.486486486486487,302.1135135135135,5680,87467,0,M13:14280;M7:12232;M1:8372;M34:6930;M50:6080,8.344559012089388,0.0,5.93795257135356,0.0,302.1135135135135,low,exact_warm_prefix_required,47
471,427,447690496:65536,1,65536,343,53,1182,410358.08448,0.0,309.6,3096.0,uncalibrated_source_proxy,493828753,1049457,prose,447690326,prose,37,7.486486486486487,302.1135135135135,5672,87352,0,M13:26265;M7:11770;M3:11462;M14:5984;M67:5080,8.32354255581696,0.0,5.945118729846243,0.0,302.1135135135135,low,exact_warm_prefix_required,48
471,430,451355648:16384,1,16384,727,119,1151,810651.001046,0.0,309.6,3096.0,uncalibrated_source_proxy,493828753,1049457,prose,450839473,prose,37,7.486486486486487,302.1135135135135,5672,87352,0,M13:26265;M7:11770;M3:11462;M14:5984;M67:5080,8.32354255581696,0.0,5.945118729846243,0.0,302.1135135135135,low,exact_warm_prefix_required,49
476,427,447690496:65536,1,65536,350,58,1253,418290.3177,0.0,309.6,3096.0,uncalibrated_source_proxy,499072095,1047966,prose,447690326,prose,37,7.486486486486487,302.1135135135135,6857,82659,1,M1:12788;M7:12034;M118:6818;M103:5610;M13:5440,7.887565054591466,0.0,5.9366722932355,0.0,302.1135135135135,low,exact_warm_prefix_required,50
444,427,448183552:65536;447690496:65536,2,131072,928,146,1167,539114.837391,0.0,309.6,3096.0,uncalibrated_source_proxy,465519446,1048625,prose,447690326,prose,37,7.486486486486487,302.1135135135135,5576,81443,0,M13:22695;M3:11374;M7:11308;M14:5665;M20:4880,7.7666467993801405,0.0,5.940405493588605,0.0,302.1135135135135,low,exact_warm_prefix_required,51
444,430,451355648:16384,1,16384,412,72,1110,476864.272068,0.0,309.6,3096.0,uncalibrated_source_proxy,465519446,1048625,prose,450839473,prose,37,7.486486486486487,302.1135135135135,5576,81443,0,M13:22695;M3:11374;M7:11308;M14:5665;M20:4880,7.7666467993801405,0.0,5.940405493588605,0.0,302.1135135135135,low,exact_warm_prefix_required,52
472,427,448183552:65536,1,65536,325,53,1248,392595.733169,0.0,309.6,3096.0,uncalibrated_source_proxy,494878210,1048247,prose,447690326,prose,37,7.486486486486487,302.1135135135135,5618,81179,0,M13:21080;M3:11132;M7:10934;M14:5709;M67:5160,7.744262564071255,0.0,5.938264143461938,0.0,302.1135135135135,low,exact_warm_prefix_required,53
472,430,451355648:16384,1,16384,518,94,1229,594669.637873,0.0,309.6,3096.0,uncalibrated_source_proxy,494878210,1048247,prose,450839473,prose,37,7.486486486486487,302.1135135135135,5618,81179,0,M13:21080;M3:11132;M7:10934;M14:5709;M67:5160,7.744262564071255,0.0,5.938264143461938,0.0,302.1135135135135,low,exact_warm_prefix_required,54
474,430,451355648:16384,1,16384,400,66,1236,469609.672316,0.0,309.6,3096.0,uncalibrated_source_proxy,496975100,1048117,prose,450839473,prose,37,7.486486486486487,302.1135135135135,5588,81008,1,M13:19550;M7:11154;M3:10780;M14:5764;M17:4224,7.728908127623156,0.0,5.937527700296682,0.0,302.1135135135135,low,exact_warm_prefix_required,55
493,430,450839552:16384,1,16384,363,65,970,424814.666218,0.0,309.6,3096.0,uncalibrated_source_proxy,516894220,1049390,prose,450839473,prose,37,7.486486486486487,302.1135135135135,5129,80890,0,M50:21888;M7:13530;M34:11250;M110:7826;M92:5780,7.7082876718855715,0.0,5.944739178368765,0.0,302.1135135135135,low,exact_warm_prefix_required,56
432,427,447690496:65536;448183552:65536,2,131072,1586,254,1397,911716.743425,0.0,309.6,3096.0,uncalibrated_source_proxy,452936697,1048802,prose,447690326,prose,37,7.486486486486487,302.1135135135135,5617,79026,0,M13:15385;M7:11682;M3:10802;M43:7546;M14:5907,7.534882656592951,0.0,5.941408189282838,0.0,302.1135135135135,low,exact_warm_prefix_required,57
432,430,451355648:16384;451822848:65536,2,81920,974,164,1407,726151.732282,0.0,309.6,3096.0,uncalibrated_source_proxy,452936697,1048802,prose,450839473,prose,37,7.486486486486487,302.1135135135135,5617,79026,0,M13:15385;M7:11682;M3:10802;M43:7546;M14:5907,7.534882656592951,0.0,5.941408189282838,0.0,302.1135135135135,low,exact_warm_prefix_required,58
441,427,447690496:65536;448183552:65536,2,131072,700,112,1203,423594.909591,0.0,309.6,3096.0,uncalibrated_source_proxy,462374119,1047493,prose,447690326,prose,37,7.486486486486487,302.1135135135135,5102,78255,1,M13:22355;M7:10846;M3:8536;M43:5376;M14:4356,7.470694314902343,0.0,5.933992773103453,0.0,302.1135135135135,low,exact_warm_prefix_required,59
441,430,451355648:16384;451822848:65536,2,81920,777,135,1228,591663.897737,0.0,309.6,3096.0,uncalibrated_source_proxy,462374119,1047493,prose,450839473,prose,37,7.486486486486487,302.1135135135135,5102,78255,1,M13:22355;M7:10846;M3:8536;M43:5376;M14:4356,7.470694314902343,0.0,5.933992773103453,0.0,302.1135135135135,low,exact_warm_prefix_required,60
431,427,448183552:65536;447690496:65536,2,131072,1040,166,1422,655583.5069,0.0,309.6,3096.0,uncalibrated_source_proxy,451888469,1048228,prose,447690326,prose,37,7.486486486486487,302.1135135135135,5655,77086,0,M13:14450;M7:11110;M43:7238;M3:6204;M14:5764,7.353934449375518,0.0,5.938156509460862,0.0,302.1135135135135,low,exact_warm_prefix_required,61
431,430,451355648:16384;451822848:65536,2,81920,863,147,1608,688132.033119,0.0,309.6,3096.0,uncalibrated_source_proxy,451888469,1048228,prose,450839473,prose,37,7.486486486486487,302.1135135135135,5655,77086,0,M13:14450;M7:11110;M43:7238;M3:6204;M14:5764,7.353934449375518,0.0,5.938156509460862,0.0,302.1135135135135,low,exact_warm_prefix_required,62
492,427,447690496:65536,1,65536,468,70,984,531787.992113,0.0,309.6,3096.0,uncalibrated_source_proxy,515845125,1049095,prose,447690326,prose,37,7.486486486486487,302.1135135135135,4884,75590,0,M34:13680;M50:13642;M7:12826;M110:5180;M17:4824,7.205257865112311,0.0,5.943068018878376,0.0,302.1135135135135,low,exact_warm_prefix_required,63
492,430,450839552:16384,1,16384,313,53,970,370272.634502,0.0,309.6,3096.0,uncalibrated_source_proxy,515845125,1049095,prose,450839473,prose,37,7.486486486486487,302.1135135135135,4884,75590,0,M34:13680;M50:13642;M7:12826;M110:5180;M17:4824,7.205257865112311,0.0,5.943068018878376,0.0,302.1135135135135,low,exact_warm_prefix_required,64
443,427,447690496:65536;448183552:65536,2,131072,835,131,1158,542537.306547,0.0,309.6,3096.0,uncalibrated_source_proxy,464470470,1048976,prose,447690326,prose,37,7.486486486486487,302.1135135135135,5411,74860,0,M13:18190;M3:10582;M7:10384;M14:5390;M61:4790,7.13648358017724,0.0,5.942393890134796,0.0,302.1135135135135,low,exact_warm_prefix_required,65
