source_group,source_start,source_length,source_class,candidate_recipients,positive_expected_recipients,estimated_expected_net_sum,estimated_high_gross_sum,best_recipient,best_expected_net,evidence,rank
27,28339390,1043373,list,29,29,3528.8014470333856,37498.01447033385,154,160.28348469646747,proxy_only,66
206,215970965,1044906,url,31,31,3512.5997052825924,37475.99705282592,211,147.21935483870968,proxy_only,67
195,204438665,1048128,mixed,34,34,3501.5174421660995,37575.174421660995,216,132.94929920351916,proxy_only,68
214,224346187,1047114,mixed,32,32,3495.716289971739,37377.16289971739,276,130.38485568751025,proxy_only,69
61,64013943,1049996,mixed,28,28,3383.477892672244,35974.778926722436,62,220.73151043088322,proxy_only,70
207,217015871,1047427,url,31,31,3352.460267311986,35874.60267311986,253,142.59741386120706,proxy_only,71
437,458179200,1048395,mixed,11,11,3310.6000000000004,34056.0,503,300.9636363636364,proxy_only,72
447,468659769,1048306,mixed,11,11,3310.6000000000004,34056.0,503,300.9636363636364,proxy_only,73
470,492781013,1047740,prose,11,11,3310.6000000000004,34056.0,495,300.9636363636364,proxy_only,74
478,501168480,1047973,prose,11,11,3310.6000000000004,34056.0,494,300.9636363636364,proxy_only,75
443,464470470,1048976,prose,11,11,3310.6000000000004,34056.0,444,300.9636363636364,proxy_only,76
454,476005114,1048830,prose,11,11,3310.6000000000004,34056.0,470,300.9636363636364,proxy_only,77
312,327181691,1047663,mixed,30,30,3305.0329303990643,35330.32930399064,315,135.36525287429728,proxy_only,78
86,90235200,1048918,mixed,33,33,3278.048239265946,35270.482392659454,90,130.40190114205572,proxy_only,79
219,229584458,1043218,mixed,29,29,3236.6582472233977,34576.582472233975,248,137.7885907347993,proxy_only,80
387,405741416,1048692,mixed,23,23,3231.146231839738,34101.46231839738,388,265.5455844650069,proxy_only,81
119,124811593,1048069,mixed,32,32,3224.862453063211,34668.62453063211,120,130.38485568751025,proxy_only,82
347,363867419,1046794,mixed,27,27,3170.73061758612,33777.306175861195,352,231.2651621538767,proxy_only,83
155,162553906,1047278,list,18,18,3137.909392027535,32819.09392027535,156,301.6,proxy_only,84
190,199197219,1048394,mixed,29,29,3126.1582321836026,33471.582321836024,244,122.43732454934914,proxy_only,85
7,7342355,1050180,list,13,13,3107.6568650175113,32166.568650175108,8,301.21538461538466,proxy_only,86
442,463421612,1048858,mixed,10,10,3008.0,30960.0,503,300.8,proxy_only,87
463,485442897,1047962,prose,10,10,3008.0,30960.0,471,300.8,proxy_only,88
436,457131352,1047848,prose,10,10,3008.0,30960.0,444,300.8,proxy_only,89
438,459227595,1048883,prose,10,10,3008.0,30960.0,444,300.8,proxy_only,90
448,469708075,1047775,prose,10,10,3008.0,30960.0,451,300.8,proxy_only,91
452,473897987,1059005,prose,10,10,3008.0,30960.0,454,300.8,proxy_only,92
425,445586519,1055183,mixed,10,10,3008.0,30960.0,447,300.8,proxy_only,93
109,114355709,1042596,url,28,28,2896.158438459257,31101.584384592566,110,147.15714285714287,proxy_only,94
264,276803120,1051271,url,27,27,2849.7983037369363,30567.983037369366,373,132.8120443015584,proxy_only,95
221,231673695,1047074,mixed,30,30,2831.0596354697946,30590.596354697944,245,122.45801420452156,proxy_only,96
33,34637194,1045396,list,25,25,2818.135896477084,30111.35896477084,153,137.6892803899717,proxy_only,97
84,88136600,1048261,mixed,29,29,2815.2087268432115,30362.087268432115,85,149.43928390307588,proxy_only,98
66,69260290,1048631,mixed,24,24,2810.34566107028,29963.4566107028,97,142.4280590224974,proxy_only,99
322,337672152,1046807,mixed,21,21,2808.7028920708008,29737.028920708006,323,301.7428571428572,proxy_only,100
148,155214816,1048578,list,26,26,2782.7332864154027,29827.332864154025,151,160.2118666593322,proxy_only,101
469,491732832,1048181,mixed,9,9,2705.4,27864.0,503,300.6,proxy_only,102
460,482295161,1049184,prose,9,9,2705.4,27864.0,471,300.6,proxy_only,103
465,487540246,1047893,prose,9,9,2705.4,27864.0,471,300.6,proxy_only,104
468,490684771,1048061,prose,9,9,2705.4,27864.0,471,300.6,proxy_only,105
477,500120061,1048419,prose,9,9,2705.4,27864.0,494,300.6,proxy_only,106
451,472849548,1048439,prose,9,9,2705.4,27864.0,454,300.6,proxy_only,107
446,467610719,1049050,mixed,9,9,2705.4,27864.0,447,300.6,proxy_only,108
145,152070567,1048142,list,28,28,2678.3601637587294,28923.601637587293,146,144.8636827361997,proxy_only,109
0,0,1048219,list,23,23,2664.83048122873,28438.3048122873,2,301.81739130434784,proxy_only,110
299,313551825,1048713,mixed,24,24,2603.6943190551183,27896.943190551185,301,151.53788588036224,proxy_only,111
42,44082319,1047797,list,24,24,2572.50942913046,27585.0942913046,43,301.85,proxy_only,112
8,8392535,1054725,list,11,11,2561.3856690055536,26563.85669005553,15,300.9636363636364,proxy_only,113
81,84989531,1048734,mixed,23,23,2537.9674843961743,27169.67484396174,98,135.1826441786451,proxy_only,114
174,182438310,1048420,list,19,19,2489.9622134118945,26409.622134118945,179,245.30422933245788,proxy_only,115
98,102809583,1052458,mixed,21,21,2445.7739555216153,26107.739555216154,200,142.32091616535453,proxy_only,116
217,227488419,1046237,prose,17,17,2441.048378704778,25780.48378704778,218,205.97784182876248,proxy_only,117
243,254771951,1044928,mixed,21,21,2435.96842480326,26009.684248032598,246,146.94285714285715,proxy_only,118
521,546095219,1048565,xml,8,8,2402.8,24768.0,528,300.35,proxy_only,119
479,502216453,1049001,prose,8,8,2402.8,24768.0,495,300.35,proxy_only,120
492,515845125,1049095,prose,8,8,2402.8,24768.0,495,300.35,proxy_only,121
471,493828753,1049457,prose,8,8,2402.8,24768.0,476,300.35,proxy_only,122
441,462374119,1047493,prose,8,8,2402.8,24768.0,444,300.35,proxy_only,123
459,481246748,1048413,prose,8,8,2402.8,24768.0,468,300.35,proxy_only,124
12,12591020,1050582,list,12,12,2386.7018610933237,24887.018610933235,20,301.1,proxy_only,125
54,56673889,1049159,mixed,20,20,2367.872398481927,25258.72398481927,57,149.15997355824828,proxy_only,126
361,378494437,1047727,mixed,18,18,2350.3359263790544,24943.359263790546,362,236.76029089703258,proxy_only,127
52,54574659,1048408,mixed,15,15,2328.7418814257785,24517.418814257784,54,254.61160328937046,proxy_only,128
251,263175200,1050600,mixed,20,20,2289.679037809813,24476.79037809813,257,132.57871096822504,proxy_only,129
79,82895685,1048835,list,22,22,2287.671218397287,24596.712183972864,115,149.24179174006647,proxy_only,130
284,297815604,1048908,url,22,22,2284.446764190365,24564.467641903644,373,122.23983238633974,proxy_only,131
212,222249292,1048210,mixed,19,19,2263.545486087726,24145.45486087726,280,137.46191196891908,proxy_only,132
77,80797080,1048978,mixed,17,17,2255.7550287857557,23927.550287857557,78,209.24576617334247,proxy_only,133
292,306213617,1058085,mixed,23,23,2231.5430928245514,24105.430928245514,293,124.9572962046497,proxy_only,134
137,143684625,1059844,list,18,18,2216.4297603902423,23604.297603902425,155,146.8,proxy_only,135
218,228534656,1049802,prose,18,18,2183.590194713581,23275.901947135808,308,159.90417435163988,proxy_only,136
132,138449376,1039752,list,22,22,2180.298080888844,23522.98080888844,161,124.92172308212005,proxy_only,137
289,303058980,1048563,mixed,23,23,2176.8235035551907,23558.23503555191,299,116.73845968471565,proxy_only,138
168,176163948,1030724,mixed,20,20,2160.6485146079754,23186.485146079754,262,135.06525287429727,proxy_only,139
327,342927321,1047836,mixed,18,18,2144.486202096331,22884.862020963308,387,144.50653987905685,proxy_only,140
358,375344091,1048740,mixed,19,19,2142.076061392171,22930.76061392171,372,137.46191196891908,proxy_only,141
522,547143784,1048619,xml,7,7,2100.2000000000003,21672.0,528,300.02857142857147,proxy_only,142
490,513748968,1047901,prose,7,7,2100.2000000000003,21672.0,495,300.02857142857147,proxy_only,143
491,514796869,1048256,prose,7,7,2100.2000000000003,21672.0,495,300.02857142857147,proxy_only,144
493,516894220,1049390,prose,7,7,2100.2000000000003,21672.0,495,300.02857142857147,proxy_only,145
472,494878210,1048247,prose,7,7,2100.2000000000003,21672.0,476,300.02857142857147,proxy_only,146
439,460276478,1049257,prose,7,7,2100.2000000000003,21672.0,444,300.02857142857147,proxy_only,147
461,483344345,1048184,prose,7,7,2100.2000000000003,21672.0,470,300.02857142857147,proxy_only,148
475,498023217,1048878,mixed,7,7,2100.2000000000003,21672.0,485,300.02857142857147,proxy_only,149
103,108054113,1055045,url,19,19,2089.542657534327,22405.42657534327,111,127.42130464276528,proxy_only,150
421,441379615,1058817,list,9,9,2045.2563951706672,21262.56395170667,467,300.6,proxy_only,151
38,39887096,1050095,list,17,17,2039.9399245430948,21769.39924543095,43,258.745083312078,proxy_only,152
156,163601184,1044809,list,15,15,2025.619904928328,21486.199049283277,157,301.40000000000003,proxy_only,153
482,505362867,1048252,mixed,8,8,2019.159793111507,20931.59793111507,503,300.35,proxy_only,154
157,164645993,1046364,list,18,18,2015.6591574510228,21596.59157451023,160,175.92980758334704,proxy_only,155
357,374302992,1041099,list,19,19,2015.4444525254423,21664.44452525442,423,132.53134254717241,proxy_only,156
257,269464779,1048165,mixed,18,18,2013.9902959879498,21579.902959879495,387,132.47871096822504,proxy_only,157
31,32531029,1050376,url,18,18,1981.4195870734247,21254.19587073425,99,124.73990490030187,proxy_only,158
422,442438432,1051705,list,8,8,1980.633981934987,20546.33981934987,484,300.35,proxy_only,159
290,304107543,1056502,list,22,22,1961.816971334989,21338.169713349886,375,116.70288656218601,proxy_only,160
138,144744469,1047857,list,16,16,1917.8378812464375,20478.378812464376,155,179.59757377812173,proxy_only,161
353,370141411,1044038,mixed,16,16,1899.0860320025672,20290.860320025673,361,151.16288588036224,proxy_only,162
229,240064753,1051784,url,21,21,1862.6052921722223,20276.05292172222,400,107.86282338998018,proxy_only,163
343,359678422,1054601,mixed,19,19,1826.5612846448348,19775.612846448344,346,127.42130464276528,proxy_only,164
308,322997753,1041930,prose,16,16,1821.0124312647658,19510.12431264766,311,148.9349735582483,proxy_only,165
523,548192403,1048565,xml,6,6,1797.6000000000001,18576.0,528,299.6,proxy_only,166
494,517943610,1047909,prose,6,6,1797.6000000000001,18576.0,495,299.6,proxy_only,167
462,484392529,1050368,prose,6,6,1797.6000000000001,18576.0,468,299.6,proxy_only,168
455,477053944,1049318,prose,6,6,1797.6000000000001,18576.0,464,299.6,proxy_only,169
450,471801499,1048049,mixed,6,6,1797.6000000000001,18576.0,475,299.6,proxy_only,170
239,250573740,1047626,url,20,20,1784.6522137917345,19426.522137917345,373,119.41964406448002,proxy_only,171
283,296765347,1050257,url,18,18,1782.5467419728,19265.467419728,284,127.36867306381791,proxy_only,172
392,410974471,1049607,list,15,15,1770.8749932168453,18938.74993216845,421,157.59208808199577,proxy_only,173
311,326131634,1050057,prose,15,15,1735.2297569839182,18582.29756983918,313,148.8599735582483,proxy_only,174
215,225393301,1048718,mixed,16,16,1712.0489016678523,18420.489016678523,245,144.38153987905685,proxy_only,175
396,415167595,1048524,list,16,16,1705.6058733538116,18356.058733538117,421,134.84025287429728,proxy_only,176
356,373254651,1048341,mixed,16,16,1698.1920361208995,18281.92036120899,361,121.93301420452156,proxy_only,177
76,79749109,1047971,mixed,15,15,1694.1431592275849,18171.431592275847,92,134.7652528742973,proxy_only,178
234,245326624,1049103,mixed,15,15,1666.364708350284,17893.647083502838,246,127.1686730638179,proxy_only,179
152,159408987,1048203,list,15,15,1659.4299782071657,17824.299782071655,154,157.59208808199577,proxy_only,180
341,357584239,1044338,mixed,16,16,1607.8051495502602,17378.0514955026,348,119.19464406448003,proxy_only,181
366,383725790,1040959,mixed,14,14,1598.0280113006136,17140.280113006138,372,134.679538588583,proxy_only,182
173,181386073,1052237,list,15,15,1588.1320077584317,17111.320077584314,177,134.7652528742973,proxy_only,183
485,508507664,1048084,mixed,7,7,1551.5114025917667,16185.114025917666,503,300.02857142857147,proxy_only,184
380,398394903,1051957,list,16,16,1538.7535743563133,16687.535743563134,421,124.61490490030187,proxy_only,185
507,531559207,1048646,list,9,9,1537.170252073588,16181.70252073588,510,300.6,proxy_only,186
158,165692357,1048654,list,14,14,1535.2785734045788,16512.78573404579,161,161.70430618261656,proxy_only,187
97,101762496,1047087,mixed,12,12,1527.6708598180269,16296.708598180268,98,237.695847434756,proxy_only,188
118,123764192,1047401,url,15,15,1507.8559251516488,16308.559251516486,211,119.11964406448003,proxy_only,189
150,157314043,1046398,list,10,10,1504.8872463772661,15928.872463772661,152,241.65315166008713,proxy_only,190
524,549240968,1048632,xml,5,5,1495.0,15480.0,528,299.0,proxy_only,191
487,510603142,1048535,prose,5,5,1495.0,15480.0,494,299.0,proxy_only,192
473,495926457,1048643,prose,5,5,1495.0,15480.0,476,299.0,proxy_only,193
495,518991519,1048192,prose,5,5,1495.0,15480.0,499,299.0,proxy_only,194
426,446641702,1048624,url,5,5,1495.0,15480.0,433,299.0,proxy_only,195
504,528413765,1048611,xml,9,9,1488.2575774739626,15692.575774739626,522,176.83586686042258,proxy_only,196
326,341876811,1050510,mixed,15,15,1486.432674051665,16094.326740516648,361,124.53990490030186,proxy_only,197
171,179295928,1047324,list,13,13,1483.284368033363,15922.84368033363,179,175.54519219873166,proxy_only,198
309,324039683,1045659,prose,14,14,1477.326563187774,15933.265631877737,311,148.774259272534,proxy_only,199
112,117490417,1048143,url,12,12,1467.0654561495853,15690.654561495852,113,165.58675322108468,proxy_only,200
202,211774324,1049489,mixed,13,13,1457.6833402593081,15666.83340259308,246,134.5806374896819,proxy_only,201
200,209675726,1047286,mixed,12,12,1454.5269187252834,15565.269187252834,246,155.1527457040382,proxy_only,202
172,180343252,1042821,list,13,13,1430.464431335322,15394.64431335322,179,159.5195589670245,proxy_only,203
149,156263394,1050649,list,10,10,1422.137017670646,15101.37017670646,152,163.25058079803503,proxy_only,204
19,19943395,1047479,list,12,12,1395.2550917479575,14972.550917479575,26,150.78788588036224,proxy_only,205
384,402590316,1050597,mixed,12,12,1366.697920518867,14686.97920518867,390,129.44735568751025,proxy_only,206
74,77649549,1049401,url,11,11,1361.245418755837,14562.454187558369,113,136.7729167536081,proxy_only,207
263,275758173,1044947,mixed,13,13,1338.8159531659942,14478.159531659941,303,118.93502867986464,proxy_only,208
393,412024078,1046428,list,13,13,1319.6452967527116,14286.452967527115,421,129.56274030289487,proxy_only,209
144,151029951,1040616,list,14,14,1260.637959036874,13766.37959036874,146,137.12356610425743,proxy_only,210
355,372214310,1040341,url,13,13,1254.7185256423707,13637.185256423707,400,118.93502867986464,proxy_only,211
307,321949082,1048671,list,13,13,1239.7570017770108,13487.57001777011,375,116.13645299575244,proxy_only,212
187,196050495,1045237,list,12,12,1222.8934314225503,13248.934314225502,201,131.97871096822504,proxy_only,213
259,271563651,1048845,list,10,10,1203.8335184565397,12918.335184565396,260,292.7271015036235,proxy_only,214
508,532607853,1048529,list,7,7,1197.2002891073435,12642.002891073433,510,300.02857142857147,proxy_only,215
525,550289600,1048564,xml,4,4,1192.4,12384.0,528,298.1,proxy_only,216
453,474956992,1048122,prose,4,4,1192.4,12384.0,454,298.1,proxy_only,217
496,520039711,1049031,prose,4,4,1192.4,12384.0,499,298.1,proxy_only,218
483,506411119,1048772,mixed,4,4,1192.4,12384.0,485,298.1,proxy_only,219
423,443490137,1051358,list,4,4,1192.4,12384.0,484,298.1,proxy_only,220
428,448742521,1048964,url,4,4,1192.4,12384.0,433,298.1,proxy_only,221
193,202341339,1048350,mixed,11,11,1137.788442851439,12327.88442851439,257,115.88470474400418,proxy_only,222
456,478103262,1048852,list,5,5,1125.3347558129328,11783.347558129328,484,299.0,proxy_only,223
4,4195514,1047961,mixed,4,4,1123.7692382643593,11697.692382643592,5,298.1,proxy_only,224
140,146842039,1044950,list,13,13,1095.246908114459,12042.46908114459,150,104.24892888225766,proxy_only,225
390,408880303,1043290,mixed,8,8,1094.6867991437487,11686.867991437486,391,300.35,proxy_only,226
371,388958357,1054637,list,10,10,1076.4474854315604,11644.474854315602,422,136.6092803899717,proxy_only,227
114,119579954,1048210,url,10,10,1053.1680415599667,11411.680415599667,227,123.93990490030187,proxy_only,228
408,427733402,1055352,list,12,12,1048.821119452054,11508.21119452054,422,107.21996624712304,proxy_only,229
189,198147847,1049372,url,10,10,1046.8530544960545,11348.530544960544,373,131.67871096822503,proxy_only,230
398,417255805,1048044,url,8,8,1042.7237328439003,11167.237328439003,399,300.35,proxy_only,231
232,243222974,1051100,mixed,12,12,1033.1795093944372,11351.79509394437,435,94.31988821120507,proxy_only,232
30,31484883,1046146,url,9,9,1021.2272008511395,11022.272008511394,45,123.73990490030187,proxy_only,233
209,219110557,1046057,url,9,9,1014.9191330869935,10959.191330869935,481,128.94735568751025,proxy_only,234
80,83944520,1045011,mixed,8,8,1014.2716151576159,10882.716151576158,97,140.9280590224974,proxy_only,235
32,33581405,1055789,list,9,9,1002.9325163439546,10839.325163439546,35,136.4092803899717,proxy_only,236
506,530510855,1048352,list,10,10,1001.8393221107947,10898.393221107946,507,300.8,proxy_only,237
254,266318882,1049739,mixed,9,9,927.5407701448019,10085.407701448019,257,118.31964406448003,proxy_only,238
94,98619736,1047395,mixed,8,8,919.3012153698504,9933.012153698504,95,138.56290240586938,proxy_only,239
34,35682590,1052933,mixed,8,8,909.86778460228,9838.6778460228,53,123.48990490030187,proxy_only,240
526,551338164,1048610,xml,3,3,889.8000000000001,9288.0,528,296.6,proxy_only,241
497,521088742,1048925,prose,3,3,889.8000000000001,9288.0,499,296.6,proxy_only,242
480,503265454,1048905,mixed,3,3,889.8000000000001,9288.0,485,296.6,proxy_only,243
433,453985499,1048967,url,3,3,889.8000000000001,9288.0,501,296.6,proxy_only,244
196,205486793,1041362,mixed,8,8,860.3486094278564,9343.486094278564,197,128.69735568751025,proxy_only,245
403,422496780,1048698,url,6,6,846.7745289502361,9067.745289502362,433,162.05058079803504,proxy_only,246
467,489635862,1048909,list,6,6,838.7255703866141,8987.25570386614,484,299.6,proxy_only,247
126,132143389,1052809,mixed,7,7,829.0882141529021,8960.88214152902,127,212.5449161406058,proxy_only,248
266,278900538,1050154,list,3,3,823.5162647787492,8625.162647787492,267,296.6,proxy_only,249
400,419351577,1048012,url,6,6,816.7611067991849,8767.611067991847,403,202.38384784048296,proxy_only,250
68,71359090,1054090,mixed,7,7,793.2995145537673,8602.995145537672,70,125.79724449238934,proxy_only,251
204,213871707,1048295,url,7,7,762.143007999488,8291.43007999488,389,120.48658563309299,proxy_only,252
484,507459891,1047773,list,6,6,760.8947369794516,8208.947369794516,510,172.00378793731028,proxy_only,253
106,111208082,1048061,mixed,7,7,748.9838513710519,8159.838513710518,194,123.1684763288733,proxy_only,254
402,421448568,1048212,url,5,5,730.3022986719089,7833.022986719089,403,299.0,proxy_only,255
75,78698950,1050159,mixed,6,6,714.3012579514665,7743.012579514664,76,137.81290240586938,proxy_only,256
510,534703985,1048494,list,6,6,699.3974050557557,7593.9740505575555,511,299.6,proxy_only,257
23,24139211,1054234,list,6,6,695.7604803780064,7557.604803780064,24,239.04213676073564,proxy_only,258
344,360733023,1048107,mixed,7,7,691.0604276921223,7580.604276921223,350,125.79724449238934,proxy_only,259
96,100715632,1046864,mixed,6,6,690.7557743647674,7507.557743647673,116,132.96525287429728,proxy_only,260
184,192900101,1047633,list,6,6,680.0713488993093,7400.713488993094,508,135.4092803899717,proxy_only,261
515,539848779,1020241,list,3,3,671.1812597137675,7101.812597137674,516,296.6,proxy_only,262
110,115398305,1047858,url,6,6,668.726934712937,7287.26934712937,209,125.36867306381791,proxy_only,263
391,409923593,1050878,mixed,6,6,657.7663052504662,7177.663052504662,450,132.96525287429728,proxy_only,264
122,127956076,1044461,mixed,7,7,654.2770323864721,7212.770323864721,123,160.41859189690226,proxy_only,265
170,178243750,1052178,list,6,6,645.0751298893645,7050.751298893644,179,132.96525287429728,proxy_only,266
105,110158158,1049924,mixed,6,6,627.0983429514075,6870.983429514075,116,114.52106838036782,proxy_only,267
457,479152114,1046738,list,3,3,626.1824518958368,6651.824518958368,484,296.6,proxy_only,268
48,50375116,1054429,url,5,5,617.895516623093,6708.95516623093,51,134.80928038997172,proxy_only,269
181,189758380,1048434,url,5,5,609.1220389185953,6621.220389185953,206,137.2129024058694,proxy_only,270
121,126906949,1049127,mixed,6,6,588.5902945637986,6485.902945637985,122,144.8,proxy_only,271
165,173025176,1048648,list,6,6,587.3347192405171,6473.34719240517,417,111.65813238937459,proxy_only,272
527,552386774,1048606,xml,2,2,587.2,6192.0,528,293.6,proxy_only,273
498,522137667,1048041,prose,2,2,587.2,6192.0,499,293.6,proxy_only,274
486,509555748,1047394,mixed,2,2,587.2,6192.0,488,293.6,proxy_only,275
481,504314359,1048508,url,2,2,587.2,6192.0,501,293.6,proxy_only,276
279,292572130,1047800,mixed,6,6,574.3162279885582,6343.162279885582,332,111.65813238937459,proxy_only,277
21,22039791,1054737,list,3,3,564.1116662150913,6031.116662150913,22,252.47980980060373,proxy_only,278
313,328229354,1063245,prose,5,5,555.6984172546288,6086.984172546287,316,129.87871096822505,proxy_only,279
262,274710082,1048091,mixed,5,5,545.8700992921134,5988.7009929211345,280,119.45801420452156,proxy_only,280
509,533656382,1047603,list,2,2,536.3577108825484,5683.577108825483,510,293.6,proxy_only,281
