source_group,recipient_group,source_start,recipient_start,distance,overlap_windows,source_window_count,recipient_window_count,overlap_fraction,class_match,source_class,recipient_class
9,12,9447260,12591020,2096982,126,32499,32471,0.003880385574820609,0,mixed,list
10,12,10494038,12591020,1047966,94,32588,32471,0.0028948908256598194,1,list,list
11,12,11543054,12591020,0,110,32645,32471,0.0033876382002402143,1,list,list
0,13,0,13641602,12593383,14,25701,32973,0.0005447258861522898,1,list,list
1,13,1048219,13641602,11543694,11,29893,32973,0.0003679791255477871,1,list,list
2,13,2097908,13641602,10494934,14,30366,32973,0.0004610419548178884,1,list,list
3,13,3146668,13641602,9446088,13,32164,32973,0.00040417858475314016,1,list,list
4,13,4195514,13641602,8398127,20,31507,32973,0.0006347795727933475,0,mixed,list
5,13,5243475,13641602,7349802,18,28307,32973,0.0006358851167555729,0,mixed,list
6,13,6291800,13641602,6299247,42,30984,32973,0.0013555383423702555,1,list,list
7,13,7342355,13641602,5249067,53,32458,32973,0.001632879413395773,1,list,list
8,13,8392535,13641602,4194342,56,32538,32973,0.001721064601389145,1,list,list
9,13,9447260,13641602,3147564,36,32499,32973,0.0011077263915812794,0,mixed,list
10,13,10494038,13641602,2098548,44,32588,32973,0.001350190254081257,1,list,list
11,13,11543054,13641602,1050582,39,32645,32973,0.0011946699341399908,1,list,list
12,13,12591020,13641602,0,61,32471,32973,0.0018785993655877553,1,list,list
0,14,0,14699215,13650996,14,25701,32645,0.0005447258861522898,1,list,list
1,14,1048219,14699215,12601307,13,29893,32645,0.0004348844211019302,1,list,list
2,14,2097908,14699215,11552547,20,30366,32645,0.0006586313640255549,1,list,list
3,14,3146668,14699215,10503701,10,32164,32645,0.00031090660365626165,1,list,list
4,14,4195514,14699215,9455740,20,31507,32645,0.0006347795727933475,0,mixed,list
5,14,5243475,14699215,8407415,21,28307,32645,0.0007418659695481683,0,mixed,list
6,14,6291800,14699215,7356860,53,30984,32645,0.001710560289181513,1,list,list
7,14,7342355,14699215,6306680,130,32458,32645,0.0040051759196500095,1,list,list
8,14,8392535,14699215,5251955,127,32538,32645,0.0039031286495789536,1,list,list
9,14,9447260,14699215,4205177,60,32499,32645,0.0018462106526354657,0,mixed,list
10,14,10494038,14699215,3156161,78,32588,32645,0.00239351908678041,1,list,list
11,14,11543054,14699215,2108195,52,32645,32645,0.0015928932455199878,1,list,list
12,14,12591020,14699215,1057613,93,32471,32645,0.002864094114748545,1,list,list
13,14,13641602,14699215,0,54,32973,32645,0.0016541583703476796,1,list,list
0,15,0,15749490,14701271,15,25701,32371,0.0005836348780203105,1,list,list
1,15,1048219,15749490,13651582,11,29893,32371,0.0003679791255477871,1,list,list
2,15,2097908,15749490,12602822,16,30366,32371,0.0005269050912204439,1,list,list
3,15,3146668,15749490,11553976,10,32164,32371,0.00031090660365626165,1,list,list
4,15,4195514,15749490,10506015,21,31507,32371,0.0006665185514330149,0,mixed,list
5,15,5243475,15749490,9457690,16,28307,32371,0.0005652312148938425,0,mixed,list
6,15,6291800,15749490,8407135,62,30984,32371,0.0020010327911179964,1,list,list
7,15,7342355,15749490,7356955,210,32458,32371,0.006487288004695561,1,list,list
8,15,8392535,15749490,6302230,224,32538,32371,0.006919773871675265,1,list,list
9,15,9447260,15749490,5255452,95,32499,32371,0.002934725525933706,0,mixed,list
10,15,10494038,15749490,4206436,120,32588,32371,0.003707021716968892,1,list,list
11,15,11543054,15749490,3158470,84,32645,32371,0.0025949152018782244,1,list,list
12,15,12591020,15749490,2107888,133,32471,32371,0.004108615736307188,1,list,list
13,15,13641602,15749490,1050275,79,32973,32371,0.0024404559636711873,1,list,list
14,15,14699215,15749490,0,181,32645,32371,0.005591424423094745,1,list,list
0,16,0,16797859,15749640,12,25701,32631,0.0004669079024162484,1,list,list
1,16,1048219,16797859,14699951,12,29893,32631,0.0004014317733248587,1,list,list
2,16,2097908,16797859,13651191,18,30366,32631,0.0005927682276229994,1,list,list
3,16,3146668,16797859,12602345,12,32164,32631,0.000373087924387514,1,list,list
4,16,4195514,16797859,11554384,17,31507,32631,0.0005395626368743454,0,mixed,list
5,16,5243475,16797859,10506059,18,28307,32631,0.0006358851167555729,0,mixed,list
6,16,6291800,16797859,9455504,35,30984,32631,0.0011296152853085464,1,list,list
7,16,7342355,16797859,8405324,66,32458,32631,0.002033397005360774,1,list,list
8,16,8392535,16797859,7350599,73,32538,32631,0.002243530641096564,1,list,list
9,16,9447260,16797859,6303821,36,32499,32631,0.0011077263915812794,0,mixed,list
10,16,10494038,16797859,5254805,40,32588,32631,0.0012274456855284155,1,list,list
11,16,11543054,16797859,4206839,43,32645,32631,0.001317765315191076,1,list,list
12,16,12591020,16797859,3156257,39,32471,32631,0.0012010717255397125,1,list,list
13,16,13641602,16797859,2098644,30,32973,32631,0.0009193711501333088,1,list,list
14,16,14699215,16797859,1048369,49,32645,32631,0.0015016395452177376,1,list,list
15,16,15749490,16797859,0,79,32371,32631,0.0024404559636711873,1,list,list
0,17,0,17844648,16796429,9,25701,32764,0.0003501809268121863,1,list,list
1,17,1048219,17844648,15746740,8,29893,32764,0.00026762118221657246,1,list,list
2,17,2097908,17844648,14697980,17,30366,32764,0.0005598366594217216,1,list,list
3,17,3146668,17844648,13649134,9,32164,32764,0.0002798159432906355,1,list,list
4,17,4195514,17844648,12601173,11,31507,32764,0.0003491287650363411,0,mixed,list
5,17,5243475,17844648,11552848,13,28307,32764,0.00045925036210124707,0,mixed,list
6,17,6291800,17844648,10502293,20,30984,32764,0.0006454944487477407,1,list,list
7,17,7342355,17844648,9452113,22,32458,32764,0.0006777990017869246,1,list,list
8,17,8392535,17844648,8397388,29,32538,32764,0.00089126559714795,1,list,list
9,17,9447260,17844648,7350610,20,32499,32764,0.0006154035508784886,0,mixed,list
10,17,10494038,17844648,6301594,26,32588,32764,0.00079783969559347,1,list,list
11,17,11543054,17844648,5253628,21,32645,32764,0.0006432838106907643,1,list,list
12,17,12591020,17844648,4203046,20,32471,32764,0.0006159342182254935,1,list,list
13,17,13641602,17844648,3145433,17,32973,32764,0.0005188621657917226,1,list,list
14,17,14699215,17844648,2095158,25,32645,32764,0.000765814060346148,1,list,list
15,17,15749490,17844648,1046789,31,32371,32764,0.0009576472768836304,1,list,list
16,17,16797859,17844648,0,41,32631,32764,0.0012564739051821887,1,list,list
0,18,0,18895671,17847452,13,25701,32683,0.0005058168942842691,1,list,list
1,18,1048219,18895671,16797763,8,29893,32683,0.00026762118221657246,1,list,list
2,18,2097908,18895671,15749003,19,30366,32683,0.0006256997958242772,1,list,list
3,18,3146668,18895671,14700157,10,32164,32683,0.00031090660365626165,1,list,list
4,18,4195514,18895671,13652196,18,31507,32683,0.0005713016155140128,0,mixed,list
5,18,5243475,18895671,12603871,20,28307,32683,0.0007065390186173032,0,mixed,list
6,18,6291800,18895671,11553316,37,30984,32683,0.0011941647301833204,1,list,list
7,18,7342355,18895671,10503136,42,32458,32683,0.0012939799125023107,1,list,list
8,18,8392535,18895671,9448411,46,32538,32683,0.001413731636855369,1,list,list
9,18,9447260,18895671,8401633,42,32499,32683,0.001292347456844826,0,mixed,list
10,18,10494038,18895671,7352617,33,32588,32683,0.0010126426905609426,1,list,list
11,18,11543054,18895671,6304651,23,32645,32683,0.0007045489355184561,1,list,list
12,18,12591020,18895671,5254069,34,32471,32683,0.001047088170983339,1,list,list
13,18,13641602,18895671,4196456,36,32973,32683,0.0011014900712908852,1,list,list
14,18,14699215,18895671,3146181,37,32645,32683,0.001133404809312299,1,list,list
15,18,15749490,18895671,2097812,44,32371,32683,0.001359241296221927,1,list,list
16,18,16797859,18895671,1051023,31,32631,32683,0.0009500168551377524,1,list,list
17,18,17844648,18895671,0,19,32764,32683,0.0005813419820701894,1,list,list
0,19,0,19943395,18895176,12,25701,32642,0.0004669079024162484,1,list,list
1,19,1048219,19943395,17845487,16,29893,32642,0.0005352423644331449,1,list,list
2,19,2097908,19943395,16796727,18,30366,32642,0.0005927682276229994,1,list,list
3,19,3146668,19943395,15747881,11,32164,32642,0.0003419972640218878,1,list,list
4,19,4195514,19943395,14699920,19,31507,32642,0.0006030405941536801,0,mixed,list
5,19,5243475,19943395,13651595,18,28307,32642,0.0006358851167555729,0,mixed,list
6,19,6291800,19943395,12601040,22,30984,32642,0.0007100438936225149,1,list,list
7,19,7342355,19943395,11550860,27,32458,32642,0.0008318442294657711,1,list,list
8,19,8392535,19943395,10496135,33,32538,32642,0.0010141987829614604,1,list,list
9,19,9447260,19943395,9449357,28,32499,32642,0.0008615649712298839,0,mixed,list
10,19,10494038,19943395,8400341,37,32588,32642,0.0011353872591137843,1,list,list
11,19,11543054,19943395,7352375,28,32645,32642,0.000857790576557809,1,list,list
12,19,12591020,19943395,6301793,28,32471,32642,0.000862307905515691,1,list,list
13,19,13641602,19943395,5244180,22,32973,32642,0.0006739783101525642,1,list,list
14,19,14699215,19943395,4193905,32,32645,32642,0.000980332087494639,1,list,list
15,19,15749490,19943395,3145536,32,32371,32642,0.000988539124525038,1,list,list
16,19,16797859,19943395,2098747,25,32631,32642,0.0007661426251110906,1,list,list
17,19,17844648,19943395,1047724,23,32764,32642,0.0007046136878867716,1,list,list
18,19,18895671,19943395,0,29,32683,32642,0.0008884259542920164,1,list,list
0,20,0,20990874,19942655,15,25701,32522,0.0005836348780203105,1,list,list
1,20,1048219,20990874,18892966,11,29893,32522,0.0003679791255477871,1,list,list
2,20,2097908,20990874,17844206,15,30366,32522,0.0004939735230191662,1,list,list
3,20,3146668,20990874,16795360,10,32164,32522,0.00031090660365626165,1,list,list
4,20,4195514,20990874,15747399,20,31507,32522,0.0006347795727933475,0,mixed,list
5,20,5243475,20990874,14699074,18,28307,32522,0.0006358851167555729,0,mixed,list
6,20,6291800,20990874,13648519,32,30984,32522,0.0010327911179963851,1,list,list
7,20,7342355,20990874,12598339,74,32458,32522,0.0022798693696469284,1,list,list
8,20,8392535,20990874,11543614,99,32538,32522,0.0030440932291986964,1,list,list
9,20,9447260,20990874,10496836,74,32499,32522,0.002276993138250408,0,mixed,list
10,20,10494038,20990874,9447820,63,32588,32522,0.0019371502367628067,1,list,list
11,20,11543054,20990874,8399854,80,32645,32522,0.0024598733165241992,1,list,list
12,20,12591020,20990874,7349272,144,32471,32522,0.004434726371223554,1,list,list
13,20,13641602,20990874,6291659,38,32973,32522,0.0011684398253489945,1,list,list
14,20,14699215,20990874,5241384,51,32645,32522,0.0015681692392841768,1,list,list
15,20,15749490,20990874,4193015,84,32371,32522,0.0025949152018782244,1,list,list
16,20,16797859,20990874,3146226,26,32631,32522,0.0007994588278703647,1,list,list
17,20,17844648,20990874,2095203,15,32764,32522,0.0004612262468482873,1,list,list
18,20,18895671,20990874,1047479,38,32683,32522,0.0011684398253489945,1,list,list
19,20,19943395,20990874,0,35,32642,32522,0.001076194575979337,1,list,list
0,21,0,22039791,20991572,5,25701,32288,0.0001945449593401035,1,list,list
1,21,1048219,22039791,19941883,9,29893,32288,0.00030107382999364397,1,list,list
2,21,2097908,22039791,18893123,15,30366,32288,0.0004939735230191662,1,list,list
3,21,3146668,22039791,17844277,9,32164,32288,0.0002798159432906355,1,list,list
4,21,4195514,22039791,16796316,15,31507,32288,0.00047608467959501063,0,mixed,list
5,21,5243475,22039791,15747991,18,28307,32288,0.0006358851167555729,0,mixed,list
6,21,6291800,22039791,14697436,27,30984,32288,0.0008714175058094501,1,list,list
7,21,7342355,22039791,13647256,80,32458,32288,0.002477700693756194,1,list,list
8,21,8392535,22039791,12592531,80,32538,32288,0.002477700693756194,1,list,list
9,21,9447260,22039791,11545753,50,32499,32288,0.0015485629335976214,0,mixed,list
10,21,10494038,22039791,10496737,47,32588,32288,0.001455649157581764,1,list,list
11,21,11543054,22039791,9448771,46,32645,32288,0.0014246778989098117,1,list,list
12,21,12591020,22039791,8398189,68,32471,32288,0.002106045589692765,1,list,list
13,21,13641602,22039791,7340576,44,32973,32288,0.0013627353815659068,1,list,list
14,21,14699215,22039791,6290301,70,32645,32288,0.00216798810703667,1,list,list
15,21,15749490,22039791,5241932,92,32371,32288,0.0028493557978196233,1,list,list
16,21,16797859,22039791,4195143,35,32631,32288,0.001083994053518335,1,list,list
17,21,17844648,22039791,3144120,21,32764,32288,0.000650396432111001,1,list,list
18,21,18895671,22039791,2096396,29,32683,32288,0.0008981665014866204,1,list,list
19,21,19943395,22039791,1048917,28,32642,32288,0.000867195242814668,1,list,list
20,21,20990874,22039791,0,79,32522,32288,0.002446729435084242,1,list,list
0,22,0,23094528,22046309,13,25701,32507,0.0005058168942842691,1,list,list
1,22,1048219,23094528,20996620,13,29893,32507,0.0004348844211019302,1,list,list
2,22,2097908,23094528,19947860,21,30366,32507,0.0006915629322268327,1,list,list
3,22,3146668,23094528,18899014,12,32164,32507,0.000373087924387514,1,list,list
4,22,4195514,23094528,17851053,23,31507,32507,0.0007299965087123496,0,mixed,list
5,22,5243475,23094528,16802728,23,28307,32507,0.0008125198714098986,0,mixed,list
6,22,6291800,23094528,15752173,47,30984,32507,0.0015169119545571908,1,list,list
7,22,7342355,23094528,14701993,87,32458,32507,0.0026803869616119293,1,list,list
8,22,8392535,23094528,13647268,100,32538,32507,0.0030762604977389485,1,list,list
9,22,9447260,23094528,12600490,87,32499,32507,0.0026770054463214252,0,mixed,list
10,22,10494038,23094528,11551474,75,32588,32507,0.0023071953733042115,1,list,list
11,22,11543054,23094528,10503508,80,32645,32507,0.0024610083981911586,1,list,list
12,22,12591020,23094528,9452926,131,32471,32507,0.0040343691293769825,1,list,list
13,22,13641602,23094528,8395313,32,32973,32507,0.0009844033592764636,1,list,list
14,22,14699215,23094528,7345038,63,32645,32507,0.0019380441135755375,1,list,list
15,22,15749490,23094528,6296669,95,32371,32507,0.002934725525933706,1,list,list
16,22,16797859,23094528,5249880,45,32631,32507,0.001384317223982527,1,list,list
17,22,17844648,23094528,4198857,23,32764,32507,0.0007075399144799582,1,list,list
18,22,18895671,23094528,3151133,36,32683,32507,0.0011074537791860215,1,list,list
19,22,19943395,23094528,2103654,28,32642,32507,0.0008613529393669056,1,list,list
20,22,20990874,23094528,1054737,95,32522,32507,0.002922447472852001,1,list,list
21,22,22039791,23094528,0,100,32288,32507,0.0030971258671952428,1,list,list
0,23,0,24139211,23090992,13,25701,32788,0.0005058168942842691,1,list,list
1,23,1048219,24139211,22041303,10,29893,32788,0.00033452647777071554,1,list,list
2,23,2097908,24139211,20992543,16,30366,32788,0.0005269050912204439,1,list,list
3,23,3146668,24139211,19943697,10,32164,32788,0.00031090660365626165,1,list,list
4,23,4195514,24139211,18895736,21,31507,32788,0.0006665185514330149,0,mixed,list
5,23,5243475,24139211,17847411,19,28307,32788,0.000671212067686438,0,mixed,list
6,23,6291800,24139211,16796856,46,30984,32788,0.0014846372321198039,1,list,list
7,23,7342355,24139211,15746676,109,32458,32788,0.003358185963398854,1,list,list
8,23,8392535,24139211,14691951,111,32538,32788,0.0034113959063249125,1,list,list
9,23,9447260,24139211,13645173,74,32499,32788,0.002276993138250408,0,mixed,list
10,23,10494038,24139211,12596157,64,32588,32788,0.0019639130968454647,1,list,list
11,23,11543054,24139211,11548191,69,32645,32788,0.0021136468065553683,1,list,list
12,23,12591020,24139211,10497609,96,32471,32788,0.002956484247482369,1,list,list
13,23,13641602,24139211,9439996,35,32973,32788,0.001067463706233988,1,list,list
14,23,14699215,24139211,8389721,68,32645,32788,0.0020830142441415223,1,list,list
15,23,15749490,24139211,7341352,116,32371,32788,0.0035834543264032623,1,list,list
16,23,16797859,24139211,6294563,42,32631,32788,0.0012871196101866323,1,list,list
17,23,17844648,24139211,5243540,18,32764,32788,0.0005493834696618239,1,list,list
18,23,18895671,24139211,4195816,33,32683,32788,0.0010096992320166448,1,list,list
19,23,19943395,24139211,3148337,27,32642,32788,0.0008271551988236015,1,list,list
20,23,20990874,24139211,2099420,81,32522,32788,0.0024906217329807513,1,list,list
21,23,22039791,24139211,1044683,76,32288,32788,0.0023538156590683845,1,list,list
22,23,23094528,24139211,0,90,32507,32788,0.002768634447965054,1,list,list
0,24,0,25193445,24145226,14,25701,32661,0.0005447258861522898,1,list,list
1,24,1048219,25193445,23095537,15,29893,32661,0.0005017897166560733,1,list,list
2,24,2097908,25193445,22046777,21,30366,32661,0.0006915629322268327,1,list,list
3,24,3146668,25193445,20997931,12,32164,32661,0.000373087924387514,1,list,list
4,24,4195514,25193445,19949970,31,31507,32661,0.0009839083378296886,0,mixed,list
5,24,5243475,25193445,18901645,23,28307,32661,0.0008125198714098986,0,mixed,list
6,24,6291800,25193445,17851090,49,30984,32661,0.0015814613994319649,1,list,list
7,24,7342355,25193445,16800910,61,32458,32661,0.0018793517776819273,1,list,list
8,24,8392535,25193445,15746185,67,32538,32661,0.0020591308623762986,1,list,list
9,24,9447260,25193445,14699407,57,32499,32661,0.0017539001200036924,0,mixed,list
10,24,10494038,25193445,13650391,61,32588,32661,0.0018718546704308335,1,list,list
11,24,11543054,25193445,12602425,50,32645,32661,0.001531628120692296,1,list,list
12,24,12591020,25193445,11551843,55,32471,32661,0.0016938191001201071,1,list,list
13,24,13641602,25193445,10494230,37,32973,32661,0.001132849575946848,1,list,list
14,24,14699215,25193445,9443955,48,32645,32661,0.0014703629958646041,1,list,list
15,24,15749490,25193445,8395586,79,32371,32661,0.0024404559636711873,1,list,list
16,24,16797859,25193445,7348797,39,32631,32661,0.0011951824951733014,1,list,list
17,24,17844648,25193445,6297774,22,32764,32661,0.0006735862343467744,1,list,list
18,24,18895671,25193445,5250050,30,32683,32661,0.000918526683200147,1,list,list
19,24,19943395,25193445,4202571,36,32642,32661,0.0011028735984314687,1,list,list
20,24,20990874,25193445,3153654,30,32522,32661,0.0009224524936965747,1,list,list
21,24,22039791,25193445,2098917,39,32288,32661,0.0012078790882061447,1,list,list
22,24,23094528,25193445,1054234,55,32507,32661,0.0016919432737564216,1,list,list
23,24,24139211,25193445,0,88,32788,32661,0.0026943449373870976,1,list,list
0,25,0,26242226,25194007,16,25701,32567,0.0006225438698883312,0,list,mixed
1,25,1048219,26242226,24144318,12,29893,32567,0.0004014317733248587,0,list,mixed
2,25,2097908,26242226,23095558,20,30366,32567,0.0006586313640255549,0,list,mixed
3,25,3146668,26242226,22046712,15,32164,32567,0.0004663599054843925,0,list,mixed
4,25,4195514,26242226,20998751,28,31507,32567,0.0008886914019106865,1,mixed,mixed
5,25,5243475,26242226,19950426,21,28307,32567,0.0007418659695481683,1,mixed,mixed
6,25,6291800,26242226,18899871,34,30984,32567,0.0010973405628711592,0,list,mixed
7,25,7342355,26242226,17849691,31,32458,32567,0.0009550804116088483,0,list,mixed
8,25,8392535,26242226,16794966,41,32538,32567,0.0012600651545884812,0,list,mixed
9,25,9447260,26242226,15748188,35,32499,32567,0.001076956214037355,1,mixed,mixed
10,25,10494038,26242226,14699172,43,32588,32567,0.0013203549605428808,0,list,mixed
11,25,11543054,26242226,13651206,33,32645,32567,0.0010132956673933736,0,list,mixed
12,25,12591020,26242226,12600624,47,32471,32567,0.0014474454128299097,0,list,mixed
13,25,13641602,26242226,11543011,23,32973,32567,0.0007062363742438665,0,list,mixed
14,25,14699215,26242226,10492736,30,32645,32567,0.0009211778794485215,0,list,mixed
15,25,15749490,26242226,9444367,37,32371,32567,0.001142998362732075,0,list,mixed
16,25,16797859,26242226,8397578,25,32631,32567,0.0007676482328737679,0,list,mixed
17,25,17844648,26242226,7346555,16,32764,32567,0.0004912948690392114,0,list,mixed
18,25,18895671,26242226,6298831,26,32683,32567,0.0007983541621887187,0,list,mixed
19,25,19943395,26242226,5251352,26,32642,32567,0.0007983541621887187,0,list,mixed
20,25,20990874,26242226,4202435,40,32522,32567,0.0012299366582620996,0,list,mixed
21,25,22039791,26242226,3147698,20,32288,32567,0.0006194251734390486,0,list,mixed
22,25,23094528,26242226,2103015,37,32507,32567,0.001138216384163411,0,list,mixed
23,25,24139211,26242226,1048781,32,32788,32567,0.0009825897380784229,0,list,mixed
24,25,25193445,26242226,0,39,32661,32567,0.0011975312432830779,0,list,mixed
0,26,0,27289725,26241506,15,25701,32665,0.0005836348780203105,1,list,list
1,26,1048219,27289725,25191817,11,29893,32665,0.0003679791255477871,1,list,list
2,26,2097908,27289725,24143057,23,30366,32665,0.0007574260686293882,1,list,list
3,26,3146668,27289725,23094211,14,32164,32665,0.00043526924511876633,1,list,list
4,26,4195514,27289725,22046250,24,31507,32665,0.000761735487352017,0,mixed,list
5,26,5243475,27289725,20997925,23,28307,32665,0.0008125198714098986,0,mixed,list
6,26,6291800,27289725,19947370,41,30984,32665,0.0013232636199328686,1,list,list
7,26,7342355,27289725,18897190,27,32458,32665,0.0008318442294657711,1,list,list
8,26,8392535,27289725,17842465,33,32538,32665,0.0010141987829614604,1,list,list
9,26,9447260,27289725,16795687,29,32499,32665,0.0008923351487738084,0,mixed,list
10,26,10494038,27289725,15746671,41,32588,32665,0.0012581318276666258,1,list,list
11,26,11543054,27289725,14698705,24,32645,32665,0.0007351814979323021,1,list,list
12,26,12591020,27289725,13648123,40,32471,32665,0.001231868436450987,1,list,list
13,26,13641602,27289725,12590510,27,32973,32665,0.0008265727843257309,1,list,list
14,26,14699215,27289725,11540235,30,32645,32665,0.0009189768724153775,1,list,list
15,26,15749490,27289725,10491866,32,32371,32665,0.000988539124525038,1,list,list
16,26,16797859,27289725,9445077,25,32631,32665,0.0007661426251110906,1,list,list
17,26,17844648,27289725,8394054,15,32764,32665,0.00045920710240318386,1,list,list
18,26,18895671,27289725,7346330,36,32683,32665,0.0011020970457676412,1,list,list
19,26,19943395,27289725,6298851,36,32642,32665,0.0011028735984314687,1,list,list
20,26,20990874,27289725,5249934,43,32522,32665,0.001322181907631757,1,list,list
